week,farmgate_enterprise_linear_weekly,farmgate_enterprise_pchip_weekly,farmgate_household_linear_weekly,farmgate_household_pchip_weekly,farmgate_combined_linear_weekly,farmgate_combined_pchip_weekly,farmgate_initial_linear_weekly,farmgate_initial_pchip_weekly,farmgate_filled_linear_weekly,farmgate_filled_pchip_weekly,producer_linear_weekly,producer_pchip_weekly,consumer_linear_weekly,consumer_pchip_weekly,prozorro_weekly,prozorro_model_weekly,retail_observed_weekly,retail_observed_model_weekly,retail_baseline_weekly,retail_baseline_model_weekly,retail_category_observed_weekly,retail_category_observed_model_weekly,retail_category_baseline_weekly,retail_category_baseline_model_weekly,retail_matched_observed_weekly,retail_matched_observed_model_weekly,retail_matched_baseline_weekly,retail_matched_baseline_model_weekly,retail_matched_category_observed_weekly,retail_matched_category_observed_model_weekly,retail_matched_category_baseline_weekly,retail_matched_category_baseline_model_weekly,retail_optimal_observed_weekly,retail_optimal_observed_model_weekly,retail_optimal_baseline_weekly,retail_optimal_baseline_model_weekly,retail_discount_share_weekly,retail_discount_depth_weekly,silpo_observed_weekly,silpo_observed_model_weekly,silpo_baseline_weekly,silpo_baseline_model_weekly,silpo_category_observed_weekly,silpo_category_observed_model_weekly,silpo_category_baseline_weekly,silpo_category_baseline_model_weekly,silpo_discount_share_weekly,silpo_discount_depth_weekly,novus_observed_weekly,novus_observed_model_weekly,novus_category_observed_weekly,novus_category_observed_model_weekly,novus_category_baseline_weekly,novus_category_baseline_model_weekly,novus_discount_share_weekly,prozorro_expected_weekly,prozorro_sum_initial_weekly,prozorro_sum_current_weekly,product,product_label,prozorro_weekly_smooth,prozorro_model_weekly_smooth,prozorro_expected_weekly_smooth,prozorro_sum_initial_weekly_smooth,prozorro_sum_current_weekly_smooth,retail_observed_model_weekly_smooth,retail_baseline_model_weekly_smooth,retail_category_observed_model_weekly_smooth,retail_category_baseline_model_weekly_smooth,retail_matched_category_observed_model_weekly_smooth,retail_matched_category_baseline_model_weekly_smooth,retail_optimal_observed_model_weekly_smooth,retail_optimal_baseline_model_weekly_smooth,silpo_observed_model_weekly_smooth,silpo_baseline_model_weekly_smooth,silpo_category_observed_model_weekly_smooth,silpo_category_baseline_model_weekly_smooth,novus_observed_model_weekly_smooth,novus_category_observed_model_weekly_smooth,novus_category_baseline_model_weekly_smooth,producer_linear_weekly_smooth,producer_pchip_weekly_smooth,consumer_linear_weekly_smooth,consumer_pchip_weekly_smooth,farmgate_enterprise_linear_weekly_smooth,farmgate_enterprise_pchip_weekly_smooth,farmgate_household_linear_weekly_smooth,farmgate_household_pchip_weekly_smooth,farmgate_combined_linear_weekly_smooth,farmgate_combined_pchip_weekly_smooth
2021-12-27,11.007723960895294,11.01564357466542,9.405416559376775,9.406946212848599,10.206570260136035,10.21129489375701,11.007723960895294,11.01564357466542,9.405416559376775,9.406946212848599,161.53112284433806,161.93853786190505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,157.24145276806541,157.20479759166068,,,10.925397905148078,10.923560918862119,9.407558035165065,9.399533305596488,10.16647797015657,10.163461339395292
2022-01-03,10.84307184940086,10.83147826305882,9.409699510953356,9.392120398344378,10.126385680177108,10.115627785033574,10.84307184940086,10.83147826305882,9.409699510953356,9.392120398344378,152.9517826917928,152.4710573214163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,154.2692735869839,154.073820792902,,,10.95213429317057,10.94102476949186,9.409699510953356,9.406946212848599,10.206570260136035,10.21129489375701
2022-01-10,10.95213429317057,10.94102476949186,9.584347305892875,9.593175001093497,10.268240799531721,10.267099885292678,10.95213429317057,10.94102476949186,9.584347305892875,9.593175001093497,154.2692735869839,154.073820792902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,154.2692735869839,154.073820792902,,,10.95213429317057,10.94102476949186,9.584347305892875,9.593175001093497,10.268240799531721,10.267099885292678
2022-01-17,11.04001406125597,11.0610356295402,9.749138105776511,9.74920306992415,10.394576083516242,10.405119349732175,11.04001406125597,11.0610356295402,9.749138105776511,9.74920306992415,155.7268854093318,156.109858320566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,154.2692735869839,154.073820792902,,,10.95213429317057,10.94102476949186,9.749138105776511,9.74920306992415,10.32847825958223,10.325487474010144
2022-01-24,10.87665505570162,10.86826418660948,9.780301463462838,9.778300512604899,10.32847825958223,10.325487474010144,10.87665505570162,10.86826418660948,9.780301463462838,9.778300512604899,152.7255587563242,152.4599344654004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,153.0330015605242,152.9329891882365,,,10.87665505570162,10.86826418660948,9.780301463462838,9.778300512604899,10.32847825958223,10.325487474010144
2022-01-31,10.80589589794297,10.80635776822966,9.807236163018073,9.813177842817334,10.306566030480521,10.309767805523496,10.80589589794297,10.80635776822966,9.807236163018073,9.813177842817334,153.0330015605242,152.9329891882365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,153.0330015605242,152.9329891882365,,,10.80589589794297,10.80635776822966,9.780301463462838,9.778300512604899,10.306566030480521,10.309767805523496
2022-02-07,10.71518539462423,10.72701498178943,9.75078456824038,9.75714982450052,10.232984981432306,10.242082403144975,10.71518539462423,10.72701498178943,9.75078456824038,9.75714982450052,153.6366858063068,153.8431542220575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,153.0330015605242,152.9329891882365,,,10.71518539462423,10.72701498178943,9.75078456824038,9.75714982450052,10.232984981432306,10.242082403144975
2022-02-14,10.56080362791081,10.54467467434724,9.658805094064835,9.649197179712043,10.109804360987823,10.09693592702964,10.56080362791081,10.54467467434724,9.658805094064835,9.649197179712043,151.933585586596,151.7973229549591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,153.6366858063068,153.8431542220575,,,10.56080362791081,10.54467467434724,9.658805094064835,9.649197179712043,10.109804360987823,10.09693592702964
2022-02-21,10.5491237244351,10.54270272797195,9.646177217901348,9.642811146221048,10.097650471168224,10.0927569370965,10.5491237244351,10.54270272797195,9.646177217901348,9.642811146221048,154.593231037132,154.3402025292013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,154.593231037132,154.3402025292013,,,10.5491237244351,10.54270272797195,9.646177217901348,9.642811146221048,10.097650471168224,10.0927569370965
2022-02-28,10.45662529435223,10.50193512621997,9.576061061863049,9.606707149985741,10.01634317810764,10.054321138102855,10.45662529435223,10.50193512621997,9.576061061863049,9.606707149985741,156.6203917130746,156.9367420344514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butter,Butter,,,,,,,,,,,,,,,,,,,,,154.593231037132,154.3402025292013,,,10.45662529435223,10.50193512621997,9.576061061863049,9.606707149985741,10.01634317810764,10.054321138102855
