product,product_label,link,x_col,y_col,week_min,week_max,overlap_weeks,continuity_share,x_raw_support_share,y_raw_support_share,mapping_type,interpolation_dominant_flag,admissibility_status
cheese,CHEESE,Retail (Silpo) -> FarmGate,silpo_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
cheese,CHEESE,Retail (Silpo) -> Procurement,silpo_category_baseline_weekly,prozorro_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
cheese,CHEESE,Retail (Silpo) -> Producer,silpo_category_baseline_weekly,producer_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
cheese,CHEESE,Retail combined -> FarmGate,retail_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
cheese,CHEESE,Retail combined -> Procurement,retail_category_baseline_weekly,prozorro_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
cheese,CHEESE,Retail combined -> Producer,retail_category_baseline_weekly,producer_linear_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
condensed_milk,Condensed milk,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,2025-04-14,2026-01-05,36,0.4444444444444444,1.0,1.0,inferred,0,weak_extension
condensed_milk,Condensed milk,FarmGate -> Retail (Novus),farmgate_combined_linear_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,7,0.42857142857142855,1.0,1.0,inferred,0,unusable
condensed_milk,Condensed milk,FarmGate -> Retail (Silpo),farmgate_combined_linear_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
condensed_milk,Condensed milk,FarmGate -> Retail combined,farmgate_combined_linear_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
condensed_milk,Condensed milk,Procurement -> Retail (Novus),prozorro_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,7,0.42857142857142855,1.0,1.0,direct,0,unusable
condensed_milk,Condensed milk,Procurement -> Retail (Silpo),prozorro_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
condensed_milk,Condensed milk,Procurement -> Retail combined,prozorro_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
condensed_milk,Condensed milk,Retail (Novus) -> FarmGate,novus_category_baseline_weekly,farmgate_combined_linear_weekly,2025-11-03,2026-01-05,7,0.42857142857142855,1.0,1.0,inferred,0,unusable
condensed_milk,Condensed milk,Retail (Novus) -> Procurement,novus_category_baseline_weekly,prozorro_weekly,2025-11-03,2026-01-05,7,0.42857142857142855,1.0,1.0,direct,0,unusable
condensed_milk,Condensed milk,Retail (Silpo) -> FarmGate,silpo_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
condensed_milk,Condensed milk,Retail (Silpo) -> Procurement,silpo_category_baseline_weekly,prozorro_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
condensed_milk,Condensed milk,Retail combined -> FarmGate,retail_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
condensed_milk,Condensed milk,Retail combined -> Procurement,retail_category_baseline_weekly,prozorro_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
cream,Cream,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,2025-04-14,2026-01-05,39,1.0,1.0,1.0,inferred,0,weak_extension
cream,Cream,FarmGate -> Retail (Novus),farmgate_combined_linear_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,9,0.8888888888888888,1.0,1.0,inferred,0,unusable
