week,farmgate_index_weekly,producer_index_weekly,procurement_index_weekly,retail_index_weekly,consumer_index_weekly,producer_weight_share,procurement_weight_share,retail_weight_share,consumer_weight_share,downstream_extension_weekly,downstream_extension_source,producer_index_weekly_smooth,procurement_index_weekly_smooth,retail_index_weekly_smooth,consumer_index_weekly_smooth,farmgate_index_weekly_smooth,downstream_extension_weekly_smooth
2021-12-27,10.206570260136035,77.3742310849087,,,78.85467908657233,1.0,0.0,0.0,1.0,34.37225606975055,consumer_scaled_extension,76.60698930925253,,,78.22282482500088,10.16647797015657,34.096834791912954
2022-01-03,10.126385680177108,75.83974753359637,,,77.59097056342945,1.0,0.0,0.0,1.0,33.82141351407536,consumer_scaled_extension,75.83974753359637,,,77.59097056342945,10.206570260136035,33.82141351407536
2022-01-10,10.268240799531721,74.52856366786955,,,76.73757394945318,1.0,0.0,0.0,1.0,33.44942332548495,consumer_scaled_extension,74.52856366786955,,,76.73757394945318,10.268240799531721,33.44942332548495
2022-01-17,10.394576083516242,73.3131708869157,,,76.04536808432306,1.0,0.0,0.0,1.0,33.147695165217954,consumer_scaled_extension,73.3131708869157,,,76.04536808432306,10.32847825958223,33.147695165217954
2022-01-24,10.32847825958223,70.52975934001843,,,73.33822893156857,1.0,0.0,0.0,1.0,31.967670323917577,consumer_scaled_extension,70.52975934001843,,,73.33822893156857,10.32847825958223,31.967670323917577
2022-01-31,10.306566030480521,68.86939948865411,,,71.59202586913959,1.0,0.0,0.0,1.0,31.20651144904985,consumer_scaled_extension,69.61098360634065,,,72.28491244337944,10.306566030480521,31.508536326114115
2022-02-07,10.232984981432306,69.61098360634065,,,72.28491244337944,1.0,0.0,0.0,1.0,31.508536326114115,consumer_scaled_extension,69.61098360634065,,,72.28491244337944,10.232984981432306,31.508536326114115
2022-02-14,10.109804360987823,70.3814671611438,,,72.96970520175574,1.0,0.0,0.0,1.0,31.807033160015113,consumer_scaled_extension,70.3814671611438,,,72.96970520175574,10.109804360987823,31.807033160015113
2022-02-21,10.097650471168224,71.6692192257953,,,74.2836415612121,1.0,0.0,0.0,1.0,32.37976971198315,consumer_scaled_extension,71.6692192257953,,,74.2836415612121,10.097650471168224,32.37976971198315
2022-02-28,10.01634317810764,72.28568413025822,,,75.16962713143351,1.0,0.0,0.0,1.0,32.76596522056319,consumer_scaled_extension,71.6692192257953,,,74.72661328263067,10.01634317810764,32.572858284742935
2022-03-07,9.727361917038795,71.45643647583455,,,74.72661328263067,1.0,0.0,0.0,1.0,32.572858284742935,consumer_scaled_extension,72.20109541575889,,,75.16962713143351,9.727361917038795,32.76596522056319
2022-03-14,9.63404747954587,72.20109541575889,,,76.31685889634811,1.0,0.0,0.0,1.0,33.266036293729364,consumer_scaled_extension,72.20109541575889,,,76.31685889634811,9.637998266331497,33.266036293729364
2022-03-21,9.637998266331497,73.88051724730448,,,79.19436518382784,1.0,0.0,0.0,1.0,34.520323091941854,consumer_scaled_extension,73.88051724730448,,,79.19436518382784,9.637998266331497,34.520323091941854
2022-03-28,9.647657989813746,75.23784153686633,,,81.77668915354812,1.0,0.0,0.0,1.0,35.645941784078474,consumer_scaled_extension,74.64635415505234,,,81.28509478738627,9.646508734355496,35.43165890788274
2022-04-04,9.646508734355496,74.64635415505234,,,81.28509478738627,1.0,0.0,0.0,1.0,35.43165890788274,consumer_scaled_extension,74.64635415505234,,,81.28509478738627,9.647657989813746,35.43165890788274
2022-04-11,9.667132553700332,74.06847087704651,,,80.92614029493757,1.0,0.0,0.0,1.0,35.27519291404757,consumer_scaled_extension,74.06847087704651,,,80.92614029493757,9.66268394280693,35.27519291404757
2022-04-18,9.66268394280693,73.63497462670861,,,80.75790225046649,1.0,0.0,0.0,1.0,35.201859014116465,consumer_scaled_extension,73.63497462670861,,,80.75790225046649,9.66268394280693,35.201859014116465
2022-04-25,9.533948324171927,72.71510207038531,,,79.96666779257214,1.0,0.0,0.0,1.0,34.85696491635346,consumer_scaled_extension,72.71510207038531,,,79.96666779257214,9.533948324171927,34.85696491635346
2022-05-02,9.416692086862762,72.11724326108565,,,79.68366265635669,1.0,0.0,0.0,1.0,34.73360476672464,consumer_scaled_extension,72.50653026434121,,,79.96666779257214,9.474656625243892,34.85696491635346
2022-05-09,9.474656625243892,72.50653026434121,,,80.75830264286375,1.0,0.0,0.0,1.0,35.20203354263103,consumer_scaled_extension,72.11724326108565,,,80.10495508257475,9.440094490541483,34.91724347176985
2022-05-16,9.440094490541483,71.66238307405108,,,80.10495508257475,1.0,0.0,0.0,1.0,34.91724347176985,consumer_scaled_extension,72.07475100902225,,,80.75830264286375,9.474656625243892,35.20203354263103
2022-05-23,9.635280258864295,72.07475100902225,,,81.10791164470713,1.0,0.0,0.0,1.0,35.35442589619647,consumer_scaled_extension,72.07475100902225,,,81.10791164470713,9.635280258864295,35.35442589619647
2022-05-30,9.710966790769325,72.41184167233261,,,81.54465203334057,1.0,0.0,0.0,1.0,35.54479827039167,consumer_scaled_extension,72.41184167233261,,,81.10791164470713,9.635280258864295,35.35442589619647
2022-06-06,9.615110621009709,72.66363590124034,,,80.53288419294351,1.0,0.0,0.0,1.0,35.10377506547715,consumer_scaled_extension,72.66363590124034,,,80.53288419294351,9.615110621009709,35.10377506547715
2022-06-13,9.473584632189331,72.74879068991191,,,79.35876179549837,1.0,0.0,0.0,1.0,34.59198253560194,consumer_scaled_extension,72.74879068991191,,,80.53288419294351,9.568673832670932,35.10377506547715
2022-06-20,9.568673832670932,74.60581082014495,,,80.56448081766722,1.0,0.0,0.0,1.0,35.11754783443041,consumer_scaled_extension,74.60581082014495,,,80.38046521923425,9.518754214438504,35.03733659847798
2022-06-27,9.518754214438504,75.50815477735235,,,80.38046521923425,1.0,0.0,0.0,1.0,35.03733659847798,consumer_scaled_extension,74.60581082014495,,,80.38046521923425,9.518754214438504,35.03733659847798
2022-07-04,9.232300335719817,73.92055781688762,,,78.1329090207225,1.0,0.0,0.0,1.0,34.057641061304,consumer_scaled_extension,73.92055781688762,,,78.1329090207225,9.232300335719817,34.057641061304
2022-07-11,8.99374295362291,72.40167766602184,,,75.90982183955543,1.0,0.0,0.0,1.0,33.08861141408975,consumer_scaled_extension,73.92055781688762,,,78.1329090207225,9.232300335719817,34.057641061304
