product,product_label,date_min,date_max,n_days,farmgate_initial_linear_n,farmgate_initial_linear_share,farmgate_filled_linear_n,farmgate_filled_linear_share,producer_linear_n,producer_linear_share,consumer_linear_n,consumer_linear_share,prozorro_n,prozorro_share,prozorro_model_n,prozorro_model_share,retail_observed_n,retail_observed_share,retail_observed_model_n,retail_observed_model_share,retail_baseline_n,retail_baseline_share,retail_baseline_model_n,retail_baseline_model_share,retail_matched_observed_n,retail_matched_observed_share,retail_matched_observed_model_n,retail_matched_observed_model_share,retail_optimal_observed_n,retail_optimal_observed_share,retail_optimal_observed_model_n,retail_optimal_observed_model_share,retail_optimal_baseline_n,retail_optimal_baseline_share,retail_optimal_baseline_model_n,retail_optimal_baseline_model_share,retail_discount_share_n,retail_discount_share_share,silpo_observed_n,silpo_observed_share,silpo_observed_model_n,silpo_observed_model_share,novus_observed_n,novus_observed_share,novus_observed_model_n,novus_observed_model_share
butter,Butter,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,1478,1.0,0,0.0,230,0.15561569688768606,270,0.18267929634641408,54,0.036535859269282815,67,0.04533152909336942,54,0.036535859269282815,67,0.04533152909336942,51,0.03450608930987822,61,0.041271989174560215,54,0.036535859269282815,67,0.04533152909336942,54,0.036535859269282815,67,0.04533152909336942,54,0.036535859269282815,48,0.03247631935047361,51,0.03450608930987822,11,0.007442489851150203,32,0.02165087956698241
cheese,CHEESE,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,1478,1.0,1478,1.0,216,0.14614343707713126,270,0.18267929634641408,61,0.041271989174560215,71,0.04803788903924222,61,0.041271989174560215,71,0.04803788903924222,52,0.035182679296346414,61,0.041271989174560215,61,0.041271989174560215,71,0.04803788903924222,61,0.041271989174560215,71,0.04803788903924222,61,0.041271989174560215,48,0.03247631935047361,51,0.03450608930987822,36,0.02435723951285521,57,0.03856562922868741
condensed_milk,Condensed milk,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,0,0.0,0,0.0,84,0.056833558863328824,268,0.18132611637347767,52,0.035182679296346414,64,0.04330175913396482,52,0.035182679296346414,64,0.04330175913396482,48,0.03247631935047361,51,0.03450608930987822,52,0.035182679296346414,64,0.04330175913396482,52,0.035182679296346414,64,0.04330175913396482,52,0.035182679296346414,48,0.03247631935047361,51,0.03450608930987822,8,0.005412719891745603,26,0.017591339648173207
cream,Cream,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,0,0.0,0,0.0,209,0.14140730717185385,269,0.18200270635994586,54,0.036535859269282815,70,0.04736129905277402,54,0.036535859269282815,70,0.04736129905277402,51,0.03450608930987822,63,0.04262516914749662,54,0.036535859269282815,70,0.04736129905277402,54,0.036535859269282815,70,0.04736129905277402,54,0.036535859269282815,48,0.03247631935047361,51,0.03450608930987822,17,0.011502029769959404,47,0.031799729364005415
milk,Drinking milk / fermented milk,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,1478,1.0,1478,1.0,210,0.14208389715832206,270,0.18267929634641408,61,0.041271989174560215,72,0.04871447902571042,61,0.041271989174560215,72,0.04871447902571042,59,0.039918809201623814,72,0.04871447902571042,61,0.041271989174560215,72,0.04871447902571042,61,0.041271989174560215,72,0.04871447902571042,61,0.041271989174560215,48,0.03247631935047361,51,0.03450608930987822,27,0.018267929634641408,56,0.037889039242219216
milk_powder,Milk powder,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,1478,1.0,0,0.0,8,0.005412719891745603,84,0.056833558863328824,48,0.03247631935047361,51,0.03450608930987822,48,0.03247631935047361,51,0.03450608930987822,48,0.03247631935047361,51,0.03450608930987822,48,0.03247631935047361,51,0.03450608930987822,48,0.03247631935047361,51,0.03450608930987822,48,0.03247631935047361,48,0.03247631935047361,51,0.03450608930987822,1,0.0006765899864682003,1,0.0006765899864682003
other,Other,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,0,0.0,0,0.0,0,0.0,0,0.0,57,0.03856562922868741,64,0.04330175913396482,57,0.03856562922868741,64,0.04330175913396482,49,0.033152909336941816,55,0.03721244925575101,57,0.03856562922868741,64,0.04330175913396482,57,0.03856562922868741,64,0.04330175913396482,57,0.03856562922868741,54,0.036535859269282815,54,0.036535859269282815,7,0.004736129905277402,21,0.014208389715832206
sour_cream,Sour cream,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,1478,1.0,1478,1.0,188,0.12719891745602166,270,0.18267929634641408,54,0.036535859269282815,68,0.046008119079837616,54,0.036535859269282815,68,0.046008119079837616,53,0.03585926928281461,66,0.044654939106901215,54,0.036535859269282815,68,0.046008119079837616,54,0.036535859269282815,68,0.046008119079837616,54,0.036535859269282815,48,0.03247631935047361,51,0.03450608930987822,11,0.007442489851150203,34,0.023004059539918808
yogurt_dessert,Yogurt / dessert,2021-12-30,2026-01-15,1478,1478,1.0,1478,1.0,0,0.0,0,0.0,0,0.0,0,0.0,59,0.039918809201623814,72,0.04871447902571042,59,0.039918809201623814,72,0.04871447902571042,54,0.036535859269282815,68,0.046008119079837616,59,0.039918809201623814,72,0.04871447902571042,59,0.039918809201623814,72,0.04871447902571042,59,0.039918809201623814,48,0.03247631935047361,51,0.03450608930987822,33,0.022327469553450607,58,0.03924221921515562
