date,product,consumer_linear,consumer_pchip
2021-12-30,cheese,145.01,145.01
2021-12-31,cheese,145.01,145.01
2022-01-01,cheese,144.8751664335712,144.9503972549721
2022-01-02,cheese,144.7403328671424,144.8009054656584
2022-01-03,cheese,144.6054993007136,144.6054993007136
2022-01-04,cheese,143.9920119789663,144.2179555499235
2022-01-05,cheese,143.378524657219,143.5462667624975
2022-01-06,cheese,142.7650373354718,142.7157312462257
2022-01-07,cheese,142.1515500137245,141.8516473088983
2022-01-08,cheese,141.5380626919772,141.0793132583052
2022-01-09,cheese,140.9245753702299,140.5240274022366
2022-01-10,cheese,140.3110880484826,140.3110880484826
2022-01-11,cheese,140.5985797868376,140.4225644368244
2022-01-12,cheese,140.8860715251926,140.7100561751793
2022-01-13,cheese,141.1735632635476,141.1031571235423
2022-01-14,cheese,141.4610550019027,141.531461141908
2022-01-15,cheese,141.7485467402577,141.9245620902709
2022-01-16,cheese,142.0360384786127,142.2120538286259
2022-01-17,cheese,142.3235302169677,142.3235302169677
2022-01-18,cheese,141.8790719964223,142.2212164275557
2022-01-19,cheese,141.4346137758769,141.9401548979236
2022-01-20,cheese,140.9901555553315,141.5191653859766
2022-01-21,cheese,140.5456973347861,140.9970676496203
2022-01-22,cheese,140.1012391142407,140.4126814467601
2022-01-23,cheese,139.6567808936953,139.8048265353015
2022-01-24,cheese,139.2123226731499,139.2123226731499
2022-01-25,cheese,138.4105622912713,138.4812730749711
2022-01-26,cheese,137.6088019093928,137.5161160021793
2022-01-27,cheese,136.8070415275142,136.4431737828023
2022-01-28,cheese,136.0052811456356,135.3887687448681
2022-01-29,cheese,135.2035207637571,134.4792232164044
2022-01-30,cheese,134.4017603818785,133.8408595254391
2022-01-31,cheese,133.6,133.6
2022-02-01,cheese,133.9475947702764,133.687433120633
2022-02-02,cheese,134.2951895405529,133.9245479992793
2022-02-03,cheese,134.6427843108293,134.2735679110595
2022-02-04,cheese,134.9903790811057,134.6967161310944
2022-02-05,cheese,135.3379738513822,135.1562159345048
2022-02-06,cheese,135.6855686216586,135.6142905964114
