dataset,raw_product,standardized_product,mapping_basis,mapping_type,ambiguity_flag,n_rows
Prozorro,2025-06-16 00:00:00,other,procurement profile plus tender title,approximate,1,36
Prozorro,2025-06-17 00:00:00,other,procurement profile plus tender title,approximate,1,31
Prozorro,2025-06-18 00:00:00,other,procurement profile plus tender title,approximate,1,24
Prozorro,2025-06-19 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2025-06-20 00:00:00,other,procurement profile plus tender title,approximate,1,22
Prozorro,2025-06-21 00:00:00,other,procurement profile plus tender title,approximate,1,4
Prozorro,2025-06-22 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-06-23 00:00:00,other,procurement profile plus tender title,approximate,1,30
Prozorro,2025-06-24 00:00:00,other,procurement profile plus tender title,approximate,1,38
Prozorro,2025-06-25 00:00:00,other,procurement profile plus tender title,approximate,1,29
Prozorro,2025-06-26 00:00:00,other,procurement profile plus tender title,approximate,1,18
Prozorro,2025-06-27 00:00:00,other,procurement profile plus tender title,approximate,1,32
Prozorro,2025-06-29 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-06-30 00:00:00,other,procurement profile plus tender title,approximate,1,33
Prozorro,2025-07-01 00:00:00,other,procurement profile plus tender title,approximate,1,43
Prozorro,2025-07-02 00:00:00,other,procurement profile plus tender title,approximate,1,28
Prozorro,2025-07-03 00:00:00,other,procurement profile plus tender title,approximate,1,19
Prozorro,2025-07-04 00:00:00,other,procurement profile plus tender title,approximate,1,9
Prozorro,2025-07-06 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-07-07 00:00:00,other,procurement profile plus tender title,approximate,1,25
Prozorro,2025-07-08 00:00:00,other,procurement profile plus tender title,approximate,1,28
Prozorro,2025-07-09 00:00:00,other,procurement profile plus tender title,approximate,1,27
Prozorro,2025-07-10 00:00:00,other,procurement profile plus tender title,approximate,1,25
Prozorro,2025-07-11 00:00:00,other,procurement profile plus tender title,approximate,1,24
Prozorro,2025-07-13 00:00:00,other,procurement profile plus tender title,approximate,1,4
Prozorro,2025-07-14 00:00:00,other,procurement profile plus tender title,approximate,1,17
Prozorro,2025-07-15 00:00:00,other,procurement profile plus tender title,approximate,1,18
Prozorro,2025-07-16 00:00:00,other,procurement profile plus tender title,approximate,1,18
Prozorro,2025-07-17 00:00:00,other,procurement profile plus tender title,approximate,1,23
Prozorro,2025-07-18 00:00:00,other,procurement profile plus tender title,approximate,1,42
Prozorro,2025-07-20 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-07-21 00:00:00,other,procurement profile plus tender title,approximate,1,17
Prozorro,2025-07-22 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-07-23 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-07-24 00:00:00,other,procurement profile plus tender title,approximate,1,31
Prozorro,2025-07-25 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2025-07-26 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-07-28 00:00:00,other,procurement profile plus tender title,approximate,1,30
Prozorro,2025-07-29 00:00:00,other,procurement profile plus tender title,approximate,1,29
Prozorro,2025-07-30 00:00:00,other,procurement profile plus tender title,approximate,1,30
Prozorro,2025-07-31 00:00:00,other,procurement profile plus tender title,approximate,1,25
Prozorro,2025-08-01 00:00:00,other,procurement profile plus tender title,approximate,1,21
Prozorro,2025-08-02 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-08-03 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-08-04 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-08-05 00:00:00,other,procurement profile plus tender title,approximate,1,39
Prozorro,2025-08-06 00:00:00,other,procurement profile plus tender title,approximate,1,37
Prozorro,2025-08-07 00:00:00,other,procurement profile plus tender title,approximate,1,26
Prozorro,2025-08-08 00:00:00,other,procurement profile plus tender title,approximate,1,30
Prozorro,2025-08-09 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-08-11 00:00:00,other,procurement profile plus tender title,approximate,1,29
Prozorro,2025-08-12 00:00:00,other,procurement profile plus tender title,approximate,1,39
Prozorro,2025-08-13 00:00:00,other,procurement profile plus tender title,approximate,1,37
Prozorro,2025-08-14 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-08-15 00:00:00,other,procurement profile plus tender title,approximate,1,40
Prozorro,2025-08-17 00:00:00,other,procurement profile plus tender title,approximate,1,4
Prozorro,2025-08-18 00:00:00,other,procurement profile plus tender title,approximate,1,61
Prozorro,2025-08-19 00:00:00,other,procurement profile plus tender title,approximate,1,54
Prozorro,2025-08-20 00:00:00,other,procurement profile plus tender title,approximate,1,71
