date,farmgate_index,farmgate_weight_share,farmgate_n_products,producer_index_weight_share,producer_index_n_products,producer_index,procurement_index,procurement_index_weight_share,procurement_index_n_products,retail_index,retail_index_weight_share,retail_index_n_products,consumer_index_weight_share,consumer_index_n_products,consumer_index,week,downstream_extension
2021-12-30,10.224449999999994,1.0,1,1.0,3,77.51057971177549,,0.0,0,,0.0,0,1.0,3,78.95509982610731,2021-12-27,34.416028835222335
2021-12-31,10.224449999999994,1.0,1,1.0,3,77.51057971177549,,0.0,0,,0.0,0,1.0,3,78.95509982610731,2021-12-27,34.416028835222335
2022-01-01,10.188690520272075,1.0,1,1.0,3,77.23788245804191,,0.0,0,,0.0,0,1.0,3,78.75425834703735,2021-12-27,34.32848330427874
2022-01-02,10.15293104054415,1.0,1,1.0,3,76.96502961590197,,0.0,0,,0.0,0,1.0,3,78.55241173409388,2021-12-27,34.24049964183447
2022-01-03,10.117171560816232,1.0,1,1.0,3,76.69201976117368,,0.0,0,,0.0,0,1.0,3,78.34955140461474,2022-01-03,34.15207410676133
2022-01-04,10.120242933936526,1.0,1,1.0,3,76.40884307743869,,0.0,0,,0.0,0,1.0,3,78.09753429505972,2022-01-03,34.042221442037736
2022-01-05,10.123314307056814,1.0,1,1.0,3,76.12475529129354,,0.0,0,,0.0,0,1.0,3,77.8446729363201,2022-01-03,33.93200077443219
2022-01-06,10.126385680177108,1.0,1,1.0,3,75.83974753359637,,0.0,0,,0.0,0,1.0,3,77.59097056342945,2022-01-03,33.82141351407536
2022-01-07,10.129457053297397,1.0,1,1.0,3,75.55381077534362,,0.0,0,,0.0,0,1.0,3,77.33643033802298,2022-01-03,33.710461039104054
2022-01-08,10.132528426417691,1.0,1,1.0,3,75.26693582361274,,0.0,0,,0.0,0,1.0,3,77.08105534919494,2022-01-03,33.59914469603493
2022-01-09,10.135599799537985,1.0,1,1.0,3,74.97911331737401,,0.0,0,,0.0,0,1.0,3,76.82484861432597,2022-01-03,33.487465800125115
2022-01-10,10.138671172658274,1.0,1,1.0,3,74.69033372316295,,0.0,0,,0.0,0,1.0,3,76.56781307988031,2022-01-10,33.37542563571976
2022-01-11,10.181861048282755,1.0,1,1.0,3,74.63676165678596,,0.0,0,,0.0,0,1.0,3,76.62533775714893,2022-01-10,33.40050027885204
2022-01-12,10.22505092390724,1.0,1,1.0,3,74.58283832279618,,0.0,0,,0.0,0,1.0,3,76.68192370743375,2022-01-10,33.42516573682702
2022-01-13,10.268240799531721,1.0,1,1.0,3,74.52856366786955,,0.0,0,,0.0,0,1.0,3,76.73757394945318,2022-01-10,33.44942332548495
2022-01-14,10.311430675156204,1.0,1,1.0,3,74.47393763228935,,0.0,0,,0.0,0,1.0,3,76.79229138752788,2022-01-10,33.47327431080085
2022-01-15,10.354620550780687,1.0,1,1.0,3,74.41896014993283,,0.0,0,,0.0,0,1.0,3,76.8460788138741,2022-01-10,33.49671990988414
2022-01-16,10.397810426405172,1.0,1,1.0,3,74.36363114825674,,0.0,0,,0.0,0,1.0,3,76.89893891081165,2022-01-10,33.519761291941066
2022-01-17,10.441000302029659,1.0,1,1.0,3,74.30795054828262,,0.0,0,,0.0,0,1.0,3,76.95087425288979,2022-01-17,33.54239957920135
2022-01-18,10.425525562525184,1.0,1,1.0,3,73.97675861351085,,0.0,0,,0.0,0,1.0,3,76.64944657339053,2022-01-17,33.41100915942824
2022-01-19,10.410050823020715,1.0,1,1.0,3,73.6451668291968,,0.0,0,,0.0,0,1.0,3,76.34761265662195,2022-01-17,33.279441663397776
2022-01-20,10.394576083516242,1.0,1,1.0,3,73.3131708869157,,0.0,0,,0.0,0,1.0,3,76.04536808432306,2022-01-17,33.147695165217954
2022-01-21,10.379101344011772,1.0,1,1.0,3,72.9807664088448,,0.0,0,,0.0,0,1.0,3,75.74270835294503,2022-01-17,33.0157677018203
2022-01-22,10.363626604507303,1.0,1,1.0,3,72.64794894623546,,0.0,0,,0.0,0,1.0,3,75.4396288714019,2022-01-17,32.883657271979466
2022-01-23,10.348151865002828,1.0,1,1.0,3,72.31471397784225,,0.0,0,,0.0,0,1.0,3,75.13612495874528,2022-01-17,32.75136183529966
2022-01-24,10.332677125498359,1.0,1,1.0,3,71.98105690830774,,0.0,0,,0.0,0,1.0,3,74.83219184176279,2022-01-24,32.61887931116777
2022-01-25,10.331277503526314,1.0,1,1.0,3,71.49765283911138,,0.0,0,,0.0,0,1.0,3,74.3344329690598,2022-01-24,32.40190936554471
2022-01-26,10.329877881554275,1.0,1,1.0,3,71.01388921892936,,0.0,0,,0.0,0,1.0,3,73.83644695023058,2022-01-24,32.18484040836131
2022-01-27,10.32847825958223,1.0,1,1.0,3,70.52975934001843,,0.0,0,,0.0,0,1.0,3,73.33822893156857,2022-01-24,31.967670323917577
2022-01-28,10.327078637610189,1.0,1,1.0,3,70.045256317526,,0.0,0,,0.0,0,1.0,3,72.83977391563538,2022-01-24,31.75039693386171
2022-01-29,10.325679015638144,1.0,1,1.0,3,69.56037308328735,,0.0,0,,0.0,0,1.0,3,72.3410767557606,2022-01-24,31.53301799479261
2022-01-30,10.324279393666105,1.0,1,1.0,3,69.0751023793468,,0.0,0,,0.0,0,1.0,3,71.84213215028153,2022-01-24,31.315531195749035
2022-01-31,10.32287977169406,1.0,1,1.0,3,68.58943675118829,,0.0,0,,0.0,0,1.0,3,71.34293463650874,2022-01-31,31.09793415557919
2022-02-01,10.317441857956219,1.0,1,1.0,3,68.68276759272383,,0.0,0,,0.0,0,1.0,3,71.42613059378898,2022-01-31,31.13419874736663
2022-02-02,10.312003944218368,1.0,1,1.0,3,68.77608849223685,,0.0,0,,0.0,0,1.0,3,71.509160871828,2022-01-31,31.170391120620305
2022-02-03,10.306566030480521,1.0,1,1.0,3,68.86939948865411,,0.0,0,,0.0,0,1.0,3,71.59202586913959,2022-01-31,31.20651144904985
2022-02-04,10.301128116742678,1.0,1,1.0,3,68.96270062069391,,0.0,0,,0.0,0,1.0,3,71.6747259807311,2022-01-31,31.24255990483646
2022-02-05,10.295690203004831,1.0,1,1.0,3,69.05599192686732,,0.0,0,,0.0,0,1.0,3,71.75726159812977,2022-01-31,31.278536658644413
2022-02-06,10.290252289266988,1.0,1,1.0,3,69.14927344547985,,0.0,0,,0.0,0,1.0,3,71.83963310940871,2022-01-31,31.31444187963229
2022-02-07,10.284814375529141,1.0,1,1.0,3,69.24254521463286,,0.0,0,,0.0,0,1.0,3,71.921840899213,2022-02-07,31.35027573546448
2022-02-08,10.267537910830198,1.0,1,1.0,3,69.36537101226259,,0.0,0,,0.0,0,1.0,3,72.04303895163613,2022-02-07,31.403105200263507
2022-02-09,10.250261446131251,1.0,1,1.0,3,69.48818378833454,,0.0,0,,0.0,0,1.0,3,72.16406253456216,2022-02-07,31.455858614911804
2022-02-10,10.232984981432306,1.0,1,1.0,3,69.61098360634065,,0.0,0,,0.0,0,1.0,3,72.28491244337944,2022-02-07,31.508536326114115
2022-02-11,10.215708516733363,1.0,1,1.0,3,69.73377052935193,,0.0,0,,0.0,0,1.0,3,72.40558946691371,2022-02-07,31.5611386777146
2022-02-12,10.198432052034416,1.0,1,1.0,3,69.85654462002148,,0.0,0,,0.0,0,1.0,3,72.52609438750132,2022-02-07,31.61366601072872
