standardized_type,n_obs,logit_coef_dlog_bm,logit_p_dlog_bm,presence_calibration_mae,depth_r2,depth_coef_dlog_bm,p11_discount_persistence,p00_regular_persistence,forecast_baseline_price_1m,forecast_discount_prob_1m,forecast_discount_depth_1m,forecast_expected_effective_price_1m
butter,48,,,,0.1743382930965004,95.95888887432326,1.0,0.0,83.48670148085777,0.19040300991469541,23.582108599410486,79.73806137627696
cottage_cheese,48,,,,0.10140228009816143,-1.93197635258676e-14,1.0,0.0,68.78216145092391,0.21726086701730227,24.535440473967906,65.1156656948503
cream,48,,,,0.024882238809336488,-58.610499170244225,1.0,0.0,69.3271368849395,0.2259550218660503,22.627987391751862,65.78250458272475
hard_cheese,48,-44.47704529898303,0.9999993216357084,7.784140461838025e-11,0.213472187661772,-96.14874883892301,1.0,0.0,68.8526379612136,0.2602281247880151,22.31322619526089,64.85468956331972
milk,48,,,,0.2153773858968412,-45.61847337560039,1.0,0.0,77.54336668293101,0.20386156153880525,23.486548836498027,73.83058678044311
other,54,,,,0.1220269244707054,-19.517618712374258,0.9787234042553191,0.8333333333333334,46.81222195324671,0.13041485839692118,13.627556027700763,45.98025839076383
sour_cream,48,,,,0.09005999943470178,-3.8773624637430395e-14,1.0,0.0,67.2907512521311,0.21289608603502222,21.82362359219349,64.16431256125233
yogurt_dessert,48,,,,0.08053021882868228,4.200006712138683e-14,1.0,0.0,68.42403763411654,0.23761602753291297,23.038827173240925,64.67823581829921
