week,standardized_type,series_name,layer,price_usd,n_obs,discount_share
2021-06-01,sour_cream,Producer_UA,upstream,12.248986930373098,7,
2021-06-08,butter,Producer_UA,upstream,33.57559706067066,7,
2021-06-08,cream,Producer_UA,upstream,17.46175613704662,7,
2021-06-08,hard_cheese,Producer_UA,upstream,33.10488012064483,7,
2021-06-08,milk,Producer_UA,upstream,5.115368246967088,14,
2021-06-08,sour_cream,Producer_UA,upstream,13.454193796028878,7,
2021-06-15,butter,Producer_UA,upstream,33.39821249166182,7,
2021-06-15,cream,Producer_UA,upstream,17.46957371510392,7,
2021-06-15,hard_cheese,Producer_UA,upstream,32.94502108953502,7,
2021-06-15,milk,Producer_UA,upstream,5.158918839028675,14,
2021-06-15,sour_cream,Producer_UA,upstream,13.524580688965694,7,
2021-06-22,butter,Producer_UA,upstream,33.73627247078904,7,
2021-06-22,cream,Producer_UA,upstream,17.488945796026098,7,
2021-06-22,hard_cheese,Producer_UA,upstream,33.269045071242616,7,
2021-06-22,milk,Producer_UA,upstream,5.1211806804703555,14,
2021-06-22,sour_cream,Producer_UA,upstream,13.53836297315936,7,
2021-06-29,butter,Producer_UA,upstream,33.50415053230881,7,
2021-06-29,cream,Producer_UA,upstream,17.38384975333582,7,
2021-06-29,hard_cheese,Producer_UA,upstream,33.24478043452805,7,
2021-06-29,milk,Producer_UA,upstream,5.0430879062441365,14,
2021-06-29,sour_cream,Producer_UA,upstream,13.325752984210919,7,
2021-07-06,butter,Producer_UA,upstream,32.90174444288609,7,
2021-07-06,cream,Producer_UA,upstream,17.304344502401758,7,
2021-07-06,hard_cheese,Producer_UA,upstream,32.61959224566771,7,
2021-07-06,milk,Producer_UA,upstream,5.020212515206549,14,
2021-07-06,sour_cream,Producer_UA,upstream,13.175596466711413,7,
2021-07-13,butter,Producer_UA,upstream,32.74078841442707,7,
2021-07-13,cream,Producer_UA,upstream,17.38507653576301,7,
2021-07-13,hard_cheese,Producer_UA,upstream,32.462037529500044,7,
2021-07-13,milk,Producer_UA,upstream,5.0976681943040605,14,
2021-07-13,sour_cream,Producer_UA,upstream,13.331375500840931,7,
2021-07-20,butter,Producer_UA,upstream,34.55272594498133,7,
2021-07-20,cream,Producer_UA,upstream,17.744136512381573,7,
2021-07-20,hard_cheese,Producer_UA,upstream,34.566470790020084,7,
2021-07-20,milk,Producer_UA,upstream,5.3396636946675065,14,
2021-07-20,sour_cream,Producer_UA,upstream,14.042639542892372,7,
2021-07-27,butter,Producer_UA,upstream,30.547704010806434,7,
2021-07-27,cream,Producer_UA,upstream,15.990158593778906,7,
2021-07-27,hard_cheese,Producer_UA,upstream,31.028335399763254,7,
2021-07-27,milk,Producer_UA,upstream,4.813142681885091,14,
