product,product_label,n_obs,mean_discount_share,lag_discount_coef,lag_discount_p,lag_spread_coef,lag_spread_p,abs_d_producer_coef,abs_d_producer_p,abs_d_prozorro_coef,abs_d_prozorro_p,abs_d_farmgate_coef,abs_d_farmgate_p,discount_percent_coef,discount_percent_p,retail_vs_consumer_gap_coef,retail_vs_consumer_gap_p,silpo_novus_gap_coef,silpo_novus_gap_p,abs_d_expected_coef,abs_d_expected_p,abs_d_sum_initial_coef,abs_d_sum_initial_p,abs_d_sum_current_coef,abs_d_sum_current_p,r2,discount_strategy_signal
cheese,CHEESE,37,0.007583285205572422,0.04170474131131596,0.642984996947626,0.016077918157301807,0.3244224574425786,-11.521468232346054,0.019890034605004873,0.04224194314304287,0.07297375989993876,14.826042542263812,0.08670296953785328,,,-0.25108329555251907,9.24376877475274e-21,-0.005806034759705828,0.5043860377706428,-0.0545257652749877,0.22140498241611362,0.0986390767407983,0.04912542374035465,-0.03537669979065755,0.08345819420179836,0.8285773801707409,1
milk,Drinking milk / fermented milk,35,0.008377297216621357,0.24963717929151352,0.05292853148184185,0.09115613516881593,0.021150579804662985,-8.383387792129598,0.44251358882468517,0.07061884031464538,0.581546849809495,-1.1090106764776575,0.8850505049753146,,,0.4437049138557355,1.3537987389458023e-57,0.04101870625224524,0.002257544849829514,0.1443925058960235,0.04414930675558251,-0.15535345122937547,0.011134436353755304,-0.04054031068406316,0.321129536059487,0.8407118939148698,1
yogurt_dessert,Yogurt / dessert,37,0.009288655657600292,0.6009708602082932,1.344833028909489e-07,,,,,,,-8.024163410307523,0.5587519349191967,,,,,0.018006239196062188,0.2647981603284575,,,,,,,0.36034802140239997,0
