product,product_label,link,x_col,y_col,data_variant,admissibility_status,mapping_type,model_reliability,model_family,n_obs,sr_coef,lr_coef,ect_coef,ect_pvalue,cointegration_p,lag_order,notes,ljungbox_p,bp_p,white_p,jb_p,stability_flag,asymmetry_pvalue
cheese,CHEESE,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,conditionally_usable,NARDL,210,0.5849044390823048,0.3696943250057652,-0.058613224721181204,0.00010999710338683663,,1,Positive and negative weekly shock decomposition.,0.6621107881616697,0.03834118735842337,1.7534269963552374e-07,7.761431401471645e-12,0,0.6478916886778734
cheese,CHEESE,Producer -> Procurement,producer_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,reliable,ECM,39,0.20072805723970466,0.38015383130298813,-0.4543328625282507,0.0031630745228683334,0.06470427652430456,1,engle_granger_p=0.0647,0.5289986481176518,0.4219538134541987,0.8583050925792177,0.4925114069935992,0,
cheese,CHEESE,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,reliable,NARDL,37,-2.31408471870457,0.916364518989341,-1.3593184843244135,1.1081061965397557e-14,,1,Positive and negative weekly shock decomposition.,0.19357115837934144,0.04988190951814284,0.3245212389754773,0.6886692120665696,0,0.0229700519552916
cheese,CHEESE,Producer -> Procurement,producer_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,reliable,NARDL,39,0.17396656873138083,1.1017986058992757,-0.9640191943273784,9.240452705772812e-08,,1,Positive and negative weekly shock decomposition.,0.6782088474016669,0.17100910274843684,0.554064076157535,0.7065947861220352,0,0.00041602756094409393
condensed_milk,Condensed milk,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,inferred,reliable,ECM,38,-1.3850456609951087,-0.511650269042704,-0.7199449064244315,6.1888651382985914e-09,0.012274641677400496,2,engle_granger_p=0.01227,0.9473696784437583,0.5612855654066875,0.11220311416305902,0.9721392705586598,0,
condensed_milk,Condensed milk,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,NARDL,34,3.7334688580634205,-5.5359463310256345,-1.7218128132721167,1.0829549654726688e-14,,1,Positive and negative weekly shock decomposition.,0.13969389075594985,0.3125228838118083,0.35752998274883413,0.5655341693442854,0,0.0011340606117965445
condensed_milk,Condensed milk,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,inferred,reliable,NARDL,39,-6.564175332216677,-5.028589071349433,-0.645521258064599,0.00017512913412905552,,1,Positive and negative weekly shock decomposition.,0.1974063985508127,0.7338795036689658,0.1287789166980893,0.6042071191760452,0,0.04682701895613731
cream,Cream,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,NARDL,37,1.1591020714056872,3.7231426049930505,-1.3759855543257662,3.4007061989510437e-06,,1,Positive and negative weekly shock decomposition.,0.7388076738321718,0.9246349118568631,0.863590435266808,0.3781868351973557,0,0.006295442485870786
cream,Cream,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,inferred,conditionally_usable,NARDL,39,1.9103185815814259,1.5337996460209204,-0.31597719495680343,0.0029940551569996336,,1,Positive and negative weekly shock decomposition.,0.21543478493106114,0.8858032094291237,0.45175769778511077,0.5625815047302207,0,0.26230172927179707
milk,Drinking milk / fermented milk,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,reliable,ECM,36,-0.7074002173449667,0.05019628528301873,-0.6184361184100915,0.00869188222304698,1.124384497457232e-09,2,engle_granger_p=1.124e-09,0.9790941595225839,0.3478327645278133,0.34913320242709805,0.9582032314148975,0,
milk,Drinking milk / fermented milk,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,reliable,ECM,39,-0.46492461687195036,0.02857864645607311,-0.50800285802205,0.008627983316364461,0.005515913137106884,1,engle_granger_p=0.005516,0.4078877176606327,0.08160109032096599,0.10230994675860439,0.26994038343751964,0,
milk,Drinking milk / fermented milk,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,reliable,NARDL,37,-4.418180234027045,1.036438247407679,-1.1557112611861822,5.0983260110800415e-05,,1,Positive and negative weekly shock decomposition.,0.45377632237511445,0.13708708162118935,0.20169489513368927,0.6294312092770167,0,0.010958441361135392
milk,Drinking milk / fermented milk,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,conditionally_usable,NARDL,39,-0.8528586002015817,0.9590815962014055,-0.47485660810693675,0.0012949022634403074,,1,Positive and negative weekly shock decomposition.,0.4172951530595093,0.03456258246148578,0.12986873522633038,0.2944976031862378,0,0.1193119688597452
milk,Drinking milk / fermented milk,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,strong,direct,conditionally_usable,ECM,210,0.77189030125778,0.9712583089278988,-0.04393714045436384,0.00010855352189325417,0.002479981083430273,1,engle_granger_p=0.00248,0.007723443856365096,0.001987676006493166,7.880471610517534e-11,1.6229377874299493e-292,0,
milk,Drinking milk / fermented milk,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,strong,direct,conditionally_usable,ECM,210,0.5648469625893382,0.9725514070254162,-0.039926125486127936,0.00045625403386689444,0.00909204022014311,1,engle_granger_p=0.009092,0.028207954552879298,0.008319330183070574,1.68170412667553e-17,3.0366945395707198e-102,0,
milk,Drinking milk / fermented milk,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,strong,direct,conditionally_usable,NARDL,210,1.1859041609134788,0.07288659756361077,-0.04982963902876536,0.00044854791580367463,,1,Positive and negative weekly shock decomposition.,3.409943488003006e-05,0.02292416246199644,2.6206061694753194e-07,2.3874875916823204e-35,0,0.9388725605276709
milk,Drinking milk / fermented milk,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,strong,direct,conditionally_usable,NARDL,210,0.7678497286842738,0.027661160449941546,-0.04489370926543939,0.000253247714867552,,1,Positive and negative weekly shock decomposition.,0.005420397066579219,0.04032505917787558,2.5680112812783265e-13,2.25672487690638e-31,0,0.9751456296397963
milk,Drinking milk / fermented milk,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,reliable,ECM,36,-0.41196267589904556,0.0918139757216575,-0.8225729991750177,5.000480545495661e-05,6.145029217840475e-10,2,engle_granger_p=6.145e-10,0.8664404413084128,0.49597794910907667,0.24508528453104653,0.444103176751781,0,
milk,Drinking milk / fermented milk,Producer -> Procurement,producer_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,reliable,ECM,39,-1.4911643519950861,0.08171497577539288,-0.4376803688177019,0.002654834167562095,0.0031472957403874354,1,engle_granger_p=0.003147,0.7680955894034264,0.2536587191009583,0.5314493434717965,0.004746910001689848,0,
milk,Drinking milk / fermented milk,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,reliable,NARDL,37,-2.1222508536479596,0.9271772293656458,-1.2370464189751362,0.00010452277560960736,,1,Positive and negative weekly shock decomposition.,0.40678191427206545,0.3034296248146045,0.38811344568796946,0.6222029437109043,0,0.0203696198025104
milk,Drinking milk / fermented milk,Producer -> Procurement,producer_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,reliable,NARDL,39,-1.4714611812268659,1.015627635473227,-0.5409516837938559,0.0020234045324072345,,1,Positive and negative weekly shock decomposition.,0.6305668528860844,0.12939939281620438,0.2148215099558735,0.06738487306703611,0,0.08723837998332398
milk_powder,Milk powder,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,acceptable,inferred,conditionally_usable,ECM,209,0.7164658101475245,0.25669532539285,-0.044064147116544404,0.0009014625582903622,0.03895799821544239,2,engle_granger_p=0.03896,0.0018294066959513152,0.008135027203757791,3.1689059307814484e-11,1.8103519305848386e-49,0,
milk_powder,Milk powder,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,reliable,ECM,208,0.5996055303500728,0.25673673450715073,-0.03903306932183228,0.0005860882097625028,0.04914376381507131,3,engle_granger_p=0.04914,0.2845725575898788,0.04225060920294238,0.00017160220334046927,9.879985948931582e-10,0,
milk_powder,Milk powder,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,acceptable,inferred,conditionally_usable,NARDL,210,0.7585047785092152,0.2846961406748443,-0.06812001262981042,5.4915361625272586e-05,,1,Positive and negative weekly shock decomposition.,4.1255920591114645e-06,0.00010709545805003489,5.800183601382079e-05,4.61714908824612e-16,0,0.7260844487280793
milk_powder,Milk powder,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,conditionally_usable,NARDL,210,0.6372285563864886,0.11964270302541379,-0.06535443410143883,1.6726678572181622e-05,,1,Positive and negative weekly shock decomposition.,0.00015246112744619425,0.0008456677328852905,5.694703854963526e-06,1.0378313772602353e-10,0,0.8833898597466087
sour_cream,Sour cream,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,ECM,37,-2.8177502251796613,1.0178171876415032,-0.8325226945562353,9.299276167307355e-08,0.0010085049336585946,1,engle_granger_p=0.001009,0.2538799898448946,0.5578750332292699,0.6341924496900775,0.3485295278284705,0,
sour_cream,Sour cream,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,inferred,reliable,NARDL,37,-10.565640956204504,4.823074215494891,-0.7686711482424599,2.0300166316158848e-06,,1,Positive and negative weekly shock decomposition.,0.29283653304645624,0.7586454350139352,0.2558714118452411,0.256616262910052,0,0.010424976951590026
sour_cream,Sour cream,FarmGate -> Procurement,farmgate_combined_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,inferred,conditionally_usable,NARDL,39,-4.763699097404373,3.333611384556132,-0.4150474150714848,9.211682777321267e-05,,1,Positive and negative weekly shock decomposition.,0.5579538415235893,0.3348019149958384,0.9030027809157153,0.1819728382942533,0,0.10438379689680817
sour_cream,Sour cream,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,acceptable,inferred,conditionally_usable,ECM,210,0.8685204713786105,1.0812136506701122,-0.05768366112306942,1.5562919137225045e-06,0.00010612775462103669,1,engle_granger_p=0.0001061,0.0024744663702713806,0.019360604980031112,7.203733502977253e-08,4.449299955667265e-23,0,
sour_cream,Sour cream,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,conditionally_usable,ECM,210,0.7384009146275354,1.0821450384248872,-0.050177424997592895,2.7137954656275317e-06,0.0021796792703313926,1,engle_granger_p=0.00218,0.030272450501712678,0.6284295278644574,0.023050711294507573,0.9943560383636612,0,
sour_cream,Sour cream,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,weekly_raw,acceptable,inferred,conditionally_usable,NARDL,210,1.2670640353234273,0.29861750685298966,-0.07071873463933527,2.6185732554602044e-07,,1,Positive and negative weekly shock decomposition.,0.010063664283083173,0.09290173309069699,0.00039559909297016244,9.486848142476813e-08,0,0.6881146460659024
sour_cream,Sour cream,FarmGate -> Producer,farmgate_combined_linear_weekly_smooth,producer_linear_weekly_smooth,weekly_smoothed,acceptable,inferred,conditionally_usable,NARDL,210,0.9319822039048578,0.18575549754084947,-0.06551229616290924,4.879513512391399e-08,,1,Positive and negative weekly shock decomposition.,0.007506626812913432,0.005025091500075454,0.0001719740428120951,0.3157188995788043,0,0.7825888834522856
sour_cream,Sour cream,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,reliable,ECM,37,-0.4333149744976622,0.6350653374809699,-0.5980660412254649,6.908412538542563e-06,0.0003557010381370289,1,engle_granger_p=0.0003557,0.5749489984653768,0.5559054216282293,0.6105899804610576,0.12166532366112208,0,
sour_cream,Sour cream,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,weekly_raw,weak_extension,direct,conditionally_usable,NARDL,37,-0.04161957222595625,1.4285314096049928,-0.6928967278894376,3.600927294357719e-11,,1,Positive and negative weekly shock decomposition.,0.09495377363694474,0.3984579515876956,0.2323205291638118,0.31671853805501826,0,0.10173436056819625
sour_cream,Sour cream,Producer -> Procurement,producer_linear_weekly_smooth,prozorro_weekly_smooth,weekly_smoothed,weak_extension,direct,conditionally_usable,NARDL,39,0.08779776766658343,0.7843393493259478,-0.2940024585489345,0.006045830912810726,,1,Positive and negative weekly shock decomposition.,0.8131107266578854,0.6472245523994997,0.404758111360816,0.015932731081551934,0,0.4711691341580251
