dataset_name,step_id,step_description,count,missing,imputed_share,mean,median,std,min,max,q05,q25,q75,q95,skew,kurtosis,cv,rolling_vol_7,rolling_vol_30
ProducerUA,S1_parse_classify,"Date parsing, mapping to product/standardized_type, base clean.",1793,0,,19.389373170864637,19.5592634658997,3.567900755701455,11.853968724126911,26.27576958446035,12.843648891852615,16.84408296459192,21.726159810774163,25.382147368785162,-0.10083009956482536,-0.6846242971443406,0.18401320786701586,0.00513618549400274,0.01102472799057018
ProducerUA,S2_uah_alignment,UAH-native alignment by date and numeric coercion.,1793,0,,19.389373170864637,19.5592634658997,3.567900755701455,11.853968724126911,26.27576958446035,12.843648891852615,16.84408296459192,21.726159810774163,25.382147368785162,-0.10083009956482536,-0.6846242971443406,0.18401320786701586,0.00513618549400274,0.01102472799057018
ConsumerUA,S1_parse_classify,"Date parsing, mapping to product/standardized_type, base clean.",1821,0,,23.599633115009688,23.08745964093858,6.22029124227194,12.73996201071674,36.60372619440565,14.46976675130172,18.62440056135446,27.60791055146646,35.21744832682492,0.37246705260679436,-0.7323701079718203,0.26357576035009417,0.005985686288159704,0.012136444771573801
ConsumerUA,S2_uah_alignment,UAH-native alignment by date and numeric coercion.,1821,0,,23.599633115009688,23.08745964093858,6.22029124227194,12.73996201071674,36.60372619440565,14.46976675130172,18.62440056135446,27.60791055146646,35.21744832682492,0.37246705260679436,-0.7323701079718203,0.26357576035009417,0.005985686288159704,0.012136444771573801
ProZorro,S1_parse_classify_units,"Date parsing, NLP categorization, unit extraction and unit price harmonization.",256,0,,82.22345703125,50.4,72.9196780769444,4.29,429.96,24.877499999999998,43.565,100.005,250.95,2.543598298379186,7.164971129302755,0.8868476309531768,1.0256628295515586,1.0459711367073976
ProZorro,S2_uah_metrics,UAH procurement metrics derivation (unit/current/initial/expected).,256,0,,82.22345703125,50.4,72.9196780769444,4.29,429.96,24.877499999999998,43.565,100.005,250.95,2.543598298379186,7.164971129302755,0.8868476309531768,1.0256628295515586,1.0459711367073976
Silpo,S1_parse_classify_discounts,"Date parsing, categorization, baseline and discount regime fields.",54,0,,47.62450617283948,51.99,13.699186714102547,8.94,54.49,9.49,50.99,53.49,53.99,-2.505610732821223,4.531940599800409,0.2876499477891756,0.14478772504729892,0.14631647812378978
Silpo,S2_uah_alignment,UAH-native alignment and baseline price update.,54,0,,47.62450617283948,51.99,13.699186714102547,8.94,54.49,9.49,50.99,53.49,53.99,-2.505610732821223,4.531940599800409,0.2876499477891756,0.14478772504729892,0.14631647812378978
Novus,S1_parse_classify_dedupe,"Date parsing, NLP categorization and latest-timestamp deduplication per (date,id).",47,0,,376.8730910356105,321.06333333333333,192.65103657950294,138.86381578947368,974.9833333333333,175.92892071611251,253.8768382352941,407.7,770.5555555555555,1.517002590292496,2.0342331315582554,0.5111827858288228,0.741727403284856,0.7100562808786856
Novus,S2_uah_alignment,UAH-native alignment and unit-price extraction.,47,0,,376.8730910356105,321.06333333333333,192.65103657950294,138.86381578947368,974.9833333333333,175.92892071611251,253.8768382352941,407.7,770.5555555555555,1.517002590292496,2.0342331315582554,0.5111827858288228,0.741727403284856,0.7100562808786856
EU,S1_parse_classify,"Date parsing, product mapping, using Price (UAH/kg).",1056,0,,168.76567506962843,167.60086699858925,26.80847502437303,112.862607525,223.378776972,134.2965840775,143.35387807714284,190.88578969785,213.83527837373572,0.2140286999742489,-1.211084541635317,0.1588502816897603,0.009024935752368629,0.010011161510111987
EU,S2_uah_alignment,UAH-native alignment by date.,1056,0,,168.76567506962843,167.60086699858925,26.80847502437303,112.862607525,223.378776972,134.2965840775,143.35387807714284,190.88578969785,213.83527837373572,0.2140286999742489,-1.211084541635317,0.1588502816897603,0.009024935752368629,0.010011161510111987
CME,S1_parse,Date parsing and base CME series clean.,1023,0,,709.2641239530792,713.331402,95.79149583199074,502.464444,966.9001849999999,564.4273536,635.788137,770.375485,854.4147727999999,0.2832414598568212,-0.07074089286782348,0.13505757953482467,0.010526815526692887,0.015164103628078825
CME,S2_uah_alignment,UAH-native alignment by date.,1023,0,,709.2641239530792,713.331402,95.79149583199074,502.464444,966.9001849999999,564.4273536,635.788137,770.375485,854.4147727999999,0.2832414598568212,-0.07074089286782348,0.13505757953482467,0.010526815526692887,0.015164103628078825
ALL,S3_interpolation_variants,Built real/linear/pchip daily variants per source-product.,1822,0,,33.220242330495864,33.80368719307515,21.131516781425336,11.86045471718035,633.94191,14.423579085570365,20.026351327110397,39.788426374874646,57.212993898730794,14.092915318307801,371.0390831384365,0.6361036313701663,0.28505522008996925,0.27591620772094544
ALL,S4_outlier_policy,Applied winsorization policy with outlier flags.,1822,0,,33.220242330495864,33.80368719307515,21.131516781425336,11.86045471718035,633.94191,14.423579085570365,20.026351327110397,39.788426374874646,57.212993898730794,14.092915318307801,371.0390831384365,0.6361036313701663,0.28505522008996925,0.27591620772094544
ALL,S5_log_transform,Generated log and dlog variants for modeling admissibility.,1822,0,,25.600617522132005,23.01603331045227,18.462797785553022,13.267879840215867,633.94191,14.45371233002992,19.139317207717905,26.503642268879844,48.069722026604836,21.424053557288776,666.5194769587168,0.7211856420881932,0.09983503215936712,0.098430069037665
