product,standardized_type,left,right,metric,pearson,spearman,n_obs
Молоко питне,milk,ProZorro,Silpo,log_price,0.015125393212069889,0.08392603129445234,37
Молоко питне,milk,ProducerUA,Silpo,log_price,-0.15432567878663672,-0.19463742943986104,48
Молоко питне,milk,CME,ConsumerUA,dlog_price,0.006361634177006414,0.003068015912604055,799
Молоко питне,milk,CME,EU,dlog_price,0.2848569139187073,0.06546826670511711,795
Молоко питне,milk,CME,ProZorro,dlog_price,-0.03137620473299399,0.0028836340638691833,138
Молоко питне,milk,CME,ProducerUA,dlog_price,0.010165123909742477,-0.004031961253591384,786
Молоко питне,milk,CME,Silpo,dlog_price,0.3450909677351007,0.3069230769230769,25
Молоко питне,milk,ConsumerUA,EU,dlog_price,0.09178245445737993,0.09732765669037102,844
Молоко питне,milk,ConsumerUA,ProZorro,dlog_price,0.02285105989082155,0.02334535962504805,178
Молоко питне,milk,ConsumerUA,ProducerUA,dlog_price,0.9948363966305385,0.9930221341515497,1792
Молоко питне,milk,ConsumerUA,Silpo,dlog_price,-0.07022353118082451,-0.08874498920752388,46
Молоко питне,milk,EU,ProZorro,dlog_price,0.024352355445919543,-0.02957427125955899,149
Молоко питне,milk,EU,ProducerUA,dlog_price,0.09415747923369233,0.10201877842973248,833
Молоко питне,milk,EU,Silpo,dlog_price,0.14942484191752736,0.16361416361416362,27
Молоко питне,milk,ProZorro,ProducerUA,dlog_price,0.023324056675578495,0.008481032201267747,168
Молоко питне,milk,ProZorro,Silpo,dlog_price,-0.1390592166878385,-0.13793103448275862,29
Молоко питне,milk,ProducerUA,Silpo,dlog_price,-0.06666465343689541,-0.09355534998458218,46
Сир кисломолочний,cottage_cheese,Novus,ProZorro,log_price,0.03032226442879991,0.12147248407733056,17
Сир кисломолочний,cottage_cheese,Novus,Silpo,log_price,0.2698331584143535,0.16253505200525303,13
Сир кисломолочний,cottage_cheese,ProZorro,Silpo,log_price,0.3236153015664687,0.29439775910364147,35
Сир кисломолочний,cottage_cheese,ProZorro,Silpo,dlog_price,0.6093222903323161,0.5247863247863247,26
Сир твердий,hard_cheese,ConsumerUA,EU,log_price,0.7272907083363443,0.7542992814677459,1056
Сир твердий,hard_cheese,ConsumerUA,Novus,log_price,-0.2783984909389485,-0.21138115145583913,37
Сир твердий,hard_cheese,ConsumerUA,ProZorro,log_price,0.058433583229898646,0.07421586060899535,199
Сир твердий,hard_cheese,ConsumerUA,ProducerUA,log_price,0.9900331060795661,0.9872748593681128,1793
Сир твердий,hard_cheese,ConsumerUA,Silpo,log_price,-0.025528600054663193,0.08228397742075554,48
Сир твердий,hard_cheese,EU,Novus,log_price,-0.13416298322147108,-0.134623946368088,30
Сир твердий,hard_cheese,EU,ProZorro,log_price,-0.08319345551610445,-0.17684281318190864,181
Сир твердий,hard_cheese,EU,ProducerUA,log_price,0.6613270732816627,0.6637987566791136,1043
Сир твердий,hard_cheese,EU,Silpo,log_price,0.009047926947569958,0.017647058823529415,35
Сир твердий,hard_cheese,Novus,ProZorro,log_price,-0.22828434939574785,-0.28047663166053455,32
Сир твердий,hard_cheese,Novus,ProducerUA,log_price,-0.27941216492037085,-0.22167002159313082,34
Сир твердий,hard_cheese,Novus,Silpo,log_price,0.22109972663696295,0.29698019399139847,25
Сир твердий,hard_cheese,ProZorro,ProducerUA,log_price,0.0735184178090851,0.10677927220398319,189
Сир твердий,hard_cheese,ProZorro,Silpo,log_price,-0.30380347107019984,-0.2994857205383521,38
Сир твердий,hard_cheese,ProducerUA,Silpo,log_price,-0.04633203647027628,-0.037895190495097666,48
