dataset,product,left,right,metric,pearson,spearman,n_obs
Silpo,Інше/невідомо,Bakoma,Premialle,log_price,0.029365017450231932,0.02825932155253204,48
Silpo,Інше/невідомо,Bakoma,Агрокомплекс Фенікс,log_price,-0.27009482590312794,-0.28062520155987986,48
Silpo,Інше/невідомо,Bakoma,Айран,log_price,-0.10656247270252545,0.05982123951532743,48
Silpo,Інше/невідомо,Bakoma,Бариста,log_price,-0.2711229643927855,-0.27535154308393034,48
Silpo,Інше/невідомо,Bakoma,Бісквіт,log_price,-0.21212414047348152,-0.18738552365830644,48
Silpo,Інше/невідомо,Bakoma,Волошкове поле,log_price,,,48
Silpo,Інше/невідомо,Bakoma,Волошковое поле,log_price,-0.14823132627050975,-0.21508921190859182,48
Silpo,Інше/невідомо,Bakoma,Від доброї курки,log_price,-0.0023449510492306413,-0.04075615518233101,48
Silpo,Інше/невідомо,Bakoma,ДанКолекція,log_price,0.10123411152754615,0.11581846084605787,48
Silpo,Інше/невідомо,Bakoma,Даніссімо,log_price,0.004809106043998343,-0.24608225124729646,48
Silpo,Інше/невідомо,Bakoma,Деліссімо,log_price,0.02037028942509232,-0.2455521838365299,48
Silpo,Інше/невідомо,Bakoma,Дольче,log_price,-0.0939122012169746,-0.044319325758943366,48
Silpo,Інше/невідомо,Bakoma,Закваска,log_price,-0.08741108559122564,-0.06031421779709895,48
Silpo,Інше/невідомо,Bakoma,Злагода,log_price,-0.40019930187346453,-0.15985453013977494,48
Silpo,Інше/невідомо,Bakoma,Карамель,log_price,0.23511213485818755,0.00687675576126316,48
Silpo,Інше/невідомо,Bakoma,Квочка,log_price,-0.2436575588277722,-0.29266159248168333,48
Silpo,Інше/невідомо,Bakoma,Коктейль,log_price,-0.012892002452381816,0.0020496627338275164,48
Silpo,Інше/невідомо,Bakoma,Лавка Традицій,log_price,-0.32524507826396004,-0.3478902147906724,48
Silpo,Інше/невідомо,Bakoma,Лавка традицій,log_price,-0.12738664641671807,-0.2125302147910766,48
Silpo,Інше/невідомо,Bakoma,Малина,log_price,0.2775014389659632,0.2701775117449747,48
Silpo,Інше/невідомо,Bakoma,Мацоні,log_price,0.12858955020407564,0.13631448295313944,48
Silpo,Інше/невідомо,Bakoma,Напій,log_price,0.3392646194754163,0.30161202938684356,48
Silpo,Інше/невідомо,Bakoma,Персик і маракуя,log_price,-1.0172039593291147e-15,,48
Silpo,Інше/невідомо,Bakoma,Повна Чаша,log_price,0.035576164695154504,-0.010374935916449219,48
Silpo,Інше/невідомо,Bakoma,Полуниця,log_price,0.052521630759620276,0.11876521651352856,48
Silpo,Інше/невідомо,Bakoma,Премія,log_price,-0.17582014558416492,-0.06880009858508121,48
Silpo,Інше/невідомо,Bakoma,ПростоНаше,log_price,0.23096329110356445,0.4197184352457342,48
Silpo,Інше/невідомо,Bakoma,РадиМо,log_price,-0.1133008813658081,-0.40297571479421085,48
Silpo,Інше/невідомо,Bakoma,Слов'яночка,log_price,-0.023085819457971456,0.2281720973718774,48
Silpo,Інше/невідомо,Bakoma,Снек,log_price,0.03725807889000143,-0.06229854080909247,47
Silpo,Інше/невідомо,Bakoma,Сільпо,log_price,-0.30075915851021173,-0.205435072896154,41
Silpo,Інше/невідомо,Bakoma,Турецький,log_price,-0.1994484818986833,-0.13111786477630208,48
Silpo,Інше/невідомо,Bakoma,Тістечко,log_price,0.07972262646597318,0.07129340367606016,48
Silpo,Інше/невідомо,Bakoma,Ферма,log_price,0.09438086341795528,0.16417324229287034,48
Silpo,Інше/невідомо,Bakoma,Це – яйце!,log_price,0.23126193369119877,0.2062203191562951,47
Silpo,Інше/невідомо,Bakoma,Це-Яйце!,log_price,-0.04298441522731828,-0.1021520638661214,48
Silpo,Інше/невідомо,Bakoma,Чарівний Птах,log_price,-0.0407527797166856,-0.04041688862606604,48
Silpo,Інше/невідомо,Bakoma,Чарівний птах,log_price,0.12602539611293762,-0.06483364424383262,47
Silpo,Інше/невідомо,Bakoma,Чумак,log_price,-0.06407123271118834,0.028142187191580445,48
Silpo,Інше/невідомо,Bakoma,Яготинська,log_price,-0.1610872530144175,-0.2237641169926287,48
Silpo,Інше/невідомо,Bakoma,Яготинський,log_price,,,24
Silpo,Інше/невідомо,Bakoma,Яйця,log_price,0.17700034780985682,0.3074820158343792,48
Silpo,Інше/невідомо,Bakoma,Ясенсвіт,log_price,0.09448550086935145,0.10476339865601744,48
Silpo,Інше/невідомо,Bob,Danone,log_price,-0.13187344744195864,-0.04219303935881153,48
Silpo,Інше/невідомо,Bob,Farm,log_price,-0.0598208027543878,0.2578570984973678,48
Silpo,Інше/невідомо,Bob,Latteria,log_price,-0.12150070977592653,-0.015803448712871964,48
Silpo,Інше/невідомо,Bob,Muller,log_price,0.11485775518769008,0.3263303395957838,48
Silpo,Інше/невідомо,Bob,Organick,log_price,-0.01479970071133558,0.03603514942387706,48
Silpo,Інше/невідомо,Bob,Premialle,log_price,0.05238180115949449,-0.0026700831625473325,48
Silpo,Інше/невідомо,Bob,Агрокомплекс Фенікс,log_price,-0.22060008543538984,-0.2686098838343842,48
Silpo,Інше/невідомо,Bob,Айран,log_price,0.05941270878227025,0.051380704816096,48
Silpo,Інше/невідомо,Bob,Бариста,log_price,0.29540256838148327,0.2923866155077943,48
Silpo,Інше/невідомо,Bob,Бісквіт,log_price,-0.09933688620198738,-0.0978553139400107,48
Silpo,Інше/невідомо,Bob,Волошкове поле,log_price,,,48
Silpo,Інше/невідомо,Bob,Волошковое поле,log_price,0.12297200270529259,0.11142039178401379,48
Silpo,Інше/невідомо,Bob,Від доброї курки,log_price,-0.12988366953150085,-0.17928846536565812,48
Silpo,Інше/невідомо,Bob,ДанКолекція,log_price,-0.07704076290836319,-0.049136626315656184,48
Silpo,Інше/невідомо,Bob,Даніссімо,log_price,-0.08335208589675026,-0.030068139157171075,48
Silpo,Інше/невідомо,Bob,Деліссімо,log_price,0.24988832112998957,0.222875990449657,48
Silpo,Інше/невідомо,Bob,Дольче,log_price,-0.07248283151091107,-0.2273856079730293,48
Silpo,Інше/невідомо,Bob,Закваска,log_price,0.03733589171087373,0.08351499957027703,48
Silpo,Інше/невідомо,Bob,Злагода,log_price,0.006692276865591666,-0.033797859063631176,48
Silpo,Інше/невідомо,Bob,Карамель,log_price,-0.034895966169354906,-0.08408928814566381,48
Silpo,Інше/невідомо,Bob,Квочка,log_price,0.23280145091757587,0.2514415223626581,48
Silpo,Інше/невідомо,Bob,Коктейль,log_price,0.13886383022580592,0.2024996512352664,48
Silpo,Інше/невідомо,Bob,Лавка Традицій,log_price,0.4368018662431149,0.40045377615746597,48
Silpo,Інше/невідомо,Bob,Лавка традицій,log_price,0.2681472446891123,0.3036389684453711,48
Silpo,Інше/невідомо,Bob,Малина,log_price,-0.22486505703057227,-0.1712982990122906,48
Silpo,Інше/невідомо,Bob,Мацоні,log_price,-0.22805104359404765,-0.21675229935953952,48
Silpo,Інше/невідомо,Bob,Напій,log_price,0.10224674567702101,0.057453274057677806,48
Silpo,Інше/невідомо,Bob,Персик і маракуя,log_price,1.36592813306764e-15,,48
Silpo,Інше/невідомо,Bob,Повна Чаша,log_price,0.0498352437661612,0.005851326879553249,48
Silpo,Інше/невідомо,Bob,Полуниця,log_price,-0.15579379868645798,-0.15025222641217345,48
Silpo,Інше/невідомо,Bob,Премія,log_price,-0.22049508464498851,-0.33121598105864347,48
Silpo,Інше/невідомо,Bob,ПростоНаше,log_price,-0.11031942048750433,-0.1681913726941102,48
Silpo,Інше/невідомо,Bob,РадиМо,log_price,0.006655338336365555,0.09509786595451258,48
