corr_type,source_left,source_right,product,lag,freq,series_left,series_right,pearson,spearman
between_sources,EU,ProZorro,Інше/невідомо,0,daily,price_pchip,price_pchip,0.7689529229319277,0.758848662383272
between_sources,EU,ProZorro,Інше/невідомо,0,weekly,price_pchip,price_pchip,0.7903118546438421,0.7936210131332083
between_sources,EU,ProZorro,Інше/невідомо,1,weekly,price_pchip,price_pchip,-0.22111709274094069,-0.5852272727272728
between_sources,EU,ProZorro,Інше/невідомо,2,weekly,price_pchip,price_pchip,0.18574598301907003,0.3360323886639676
between_sources,EU,ProZorro,Інше/невідомо,7,daily,price_pchip,price_pchip,-0.031339030245515286,-0.040480842442282075
between_sources,EU,ProZorro,Інше/невідомо,14,daily,price_pchip,price_pchip,-0.04799000650254178,-0.03023956635457337
between_sources,EU,Silpo,Інше/невідомо,0,daily,price_pchip,price_pchip,0.7036896267922405,0.7505738788595241
between_sources,EU,Silpo,Інше/невідомо,0,weekly,price_pchip,price_pchip,0.9044841052648571,0.8147058823529412
between_sources,EU,Silpo,Інше/невідомо,1,weekly,price_pchip,price_pchip,0.5604513838048434,0.5637254901960785
between_sources,EU,Silpo,Інше/невідомо,2,weekly,price_pchip,price_pchip,-0.4627642563176874,-0.40196078431372556
between_sources,EU,Silpo,Інше/невідомо,7,daily,price_pchip,price_pchip,0.15598452371160243,0.05485664719819713
between_sources,EU,Silpo,Інше/невідомо,14,daily,price_pchip,price_pchip,-0.13670310926058685,-0.30568589147286784
between_sources,ProZorro,Silpo,Інше/невідомо,0,daily,price_pchip,price_pchip,0.08501384846662308,0.1438520694700537
between_sources,ProZorro,Silpo,Інше/невідомо,7,daily,price_pchip,price_pchip,0.09382062100686524,0.07496584726779254
between_sources,ProZorro,Silpo,Інше/невідомо,14,daily,price_pchip,price_pchip,-0.20280895380845113,-0.08271680356876245
between_sources,EU,ProZorro,Вершки,0,daily,price_pchip,price_pchip,0.1365849368548465,-0.022506392496713407
between_sources,EU,ProZorro,Вершки,0,weekly,price_pchip,price_pchip,0.33828453030943384,0.295748987854251
between_sources,EU,ProZorro,Вершки,1,weekly,price_pchip,price_pchip,0.3348890726681465,0.317004048582996
between_sources,EU,ProZorro,Вершки,2,weekly,price_pchip,price_pchip,0.2544616227979385,0.20647773279352225
between_sources,EU,ProZorro,Вершки,7,daily,price_pchip,price_pchip,0.15135958510126368,0.017393826364109393
between_sources,EU,ProZorro,Вершки,14,daily,price_pchip,price_pchip,0.09560439871981849,-0.07610305422773496
between_sources,EU,ProducerUA,Вершки,0,daily,price_pchip,price_pchip,0.3385636878540533,0.3676764624413275
between_sources,EU,ProducerUA,Вершки,0,weekly,price_pchip,price_pchip,0.35028264916945484,0.3681379042463999
between_sources,EU,ProducerUA,Вершки,1,weekly,price_pchip,price_pchip,0.35382055601774737,0.37475043967647476
between_sources,EU,ProducerUA,Вершки,2,weekly,price_pchip,price_pchip,0.3482906093306695,0.3667334240535643
between_sources,EU,ProducerUA,Вершки,7,daily,price_pchip,price_pchip,0.34096124769902925,0.3700871962566391
between_sources,EU,ProducerUA,Вершки,14,daily,price_pchip,price_pchip,0.33693652922269385,0.3619470981211177
between_sources,EU,Silpo,Вершки,0,daily,price_pchip,price_pchip,-0.15662326907638527,-0.12212885154061627
between_sources,EU,Silpo,Вершки,7,daily,price_pchip,price_pchip,-0.19329983287188615,-0.21988795518207285
between_sources,EU,Silpo,Вершки,14,daily,price_pchip,price_pchip,-0.1909864131780531,-0.16078431372549024
between_sources,ProZorro,ProducerUA,Вершки,0,daily,price_pchip,price_pchip,0.049274822126882764,0.07127460885841022
between_sources,ProZorro,ProducerUA,Вершки,0,weekly,price_pchip,price_pchip,-0.06019592258574265,-0.05523944997629207
between_sources,ProZorro,ProducerUA,Вершки,1,weekly,price_pchip,price_pchip,0.009115693673181538,0.006893533209322683
between_sources,ProZorro,ProducerUA,Вершки,2,weekly,price_pchip,price_pchip,0.09083690134804394,0.14271255060728746
between_sources,ProZorro,ProducerUA,Вершки,7,daily,price_pchip,price_pchip,0.07630003913768656,0.08652828474044104
between_sources,ProZorro,ProducerUA,Вершки,14,daily,price_pchip,price_pchip,0.124704533653067,0.1762692414620244
between_sources,ProZorro,Silpo,Вершки,0,daily,price_pchip,price_pchip,-0.06413029313791055,-0.24916943521594687
between_sources,ProZorro,Silpo,Вершки,7,daily,price_pchip,price_pchip,0.025815400944721095,-0.00316019771493396
between_sources,ProZorro,Silpo,Вершки,14,daily,price_pchip,price_pchip,-0.4169305791656699,-0.2846572032618544
between_sources,ProducerUA,Silpo,Вершки,0,daily,price_pchip,price_pchip,-0.22063926481763002,-0.299174989144594
between_sources,ProducerUA,Silpo,Вершки,7,daily,price_pchip,price_pchip,-0.2134788461028884,-0.16217976552323057
between_sources,ProducerUA,Silpo,Вершки,14,daily,price_pchip,price_pchip,-0.24830217661332385,-0.1717325227963526
between_sources,Novus,Silpo,Йогурт,7,daily,price_pchip,price_pchip,0.17850082701193157,0.3687593134659932
between_sources,Novus,Silpo,Йогурт,14,daily,price_pchip,price_pchip,0.06330319429279573,0.26996299142885
between_sources,ProducerUA,Silpo,Кефір,0,daily,price_pchip,price_pchip,-0.44875169155801736,-0.3847155883630048
between_sources,ProducerUA,Silpo,Кефір,7,daily,price_pchip,price_pchip,-0.30665342275121243,-0.16521927920104212
between_sources,ProducerUA,Silpo,Кефір,14,daily,price_pchip,price_pchip,-0.28005802383887624,-0.3137212331741207
between_sources,EU,ProZorro,Масло вершкове,0,daily,price_pchip,price_pchip,-0.3958638890778961,-0.48204692185103315
between_sources,EU,ProZorro,Масло вершкове,0,weekly,price_pchip,price_pchip,-0.5818920774276333,-0.6583489681050658
between_sources,EU,ProZorro,Масло вершкове,1,weekly,price_pchip,price_pchip,-0.6043463726073374,-0.7075046904315199
between_sources,EU,ProZorro,Масло вершкове,2,weekly,price_pchip,price_pchip,-0.6220124247542828,-0.712753036437247
between_sources,EU,ProZorro,Масло вершкове,7,daily,price_pchip,price_pchip,-0.41206067324301615,-0.504273253454778
between_sources,EU,ProZorro,Масло вершкове,14,daily,price_pchip,price_pchip,-0.42871946067515965,-0.5072911043116687
between_sources,EU,ProducerUA,Масло вершкове,0,daily,price_pchip,price_pchip,0.7930947534782278,0.7388989590174632
between_sources,EU,ProducerUA,Масло вершкове,0,weekly,price_pchip,price_pchip,0.7991447380037402,0.7463966120710654
between_sources,EU,ProducerUA,Масло вершкове,1,weekly,price_pchip,price_pchip,0.7926050927749063,0.7432960071320461
between_sources,EU,ProducerUA,Масло вершкове,2,weekly,price_pchip,price_pchip,0.7817234858666364,0.7339842151940869
between_sources,EU,ProducerUA,Масло вершкове,7,daily,price_pchip,price_pchip,0.7853552105347797,0.7332334976340051
between_sources,EU,ProducerUA,Масло вершкове,14,daily,price_pchip,price_pchip,0.7737783017072696,0.7235006792167165
between_sources,EU,Silpo,Масло вершкове,0,daily,price_pchip,price_pchip,-0.06635777043711011,-0.03669467787114846
between_sources,EU,Silpo,Масло вершкове,7,daily,price_pchip,price_pchip,-0.09762200874519522,-0.031092436974789917
