standardized_type,asymmetry_strength_index,promo_intensity_index,dispersion_index_prozorro_region,benchmark_shock_link_coef,benchmark_shock_link_pvalue,interpretation_note
butter,0.3782699876482825,0.1958617144325922,0.2261691517032154,,,Proxy evidence only; not a structural conduct estimate.
cottage_cheese,,0.21275724378007577,0.34334840910628167,,,Proxy evidence only; not a structural conduct estimate.
cream,0.08953465075127179,0.22461428058844635,0.35269523081622073,,,Proxy evidence only; not a structural conduct estimate.
hard_cheese,0.39129683394806936,0.23482733284349744,0.2032740368205794,,,Proxy evidence only; not a structural conduct estimate.
milk,0.5835474593139057,0.20193277757128444,0.32620376699938314,,,Proxy evidence only; not a structural conduct estimate.
other,1.5165924028467517,0.21547823373381184,0.10626690635195048,,,Proxy evidence only; not a structural conduct estimate.
sour_cream,,0.2053599252103459,0.21045809400866602,,,Proxy evidence only; not a structural conduct estimate.
yogurt_dessert,,0.22928747319088094,,,,Proxy evidence only; not a structural conduct estimate.
