product,product_label,link,model_family,data_variant,ljungbox_p,bp_p,white_p,jb_p,stability_flag,notes
cheese,CHEESE,FarmGate -> Producer,NARDL,weekly_raw,0.079279226651063,0.000531000912905791,9.70123672478516e-09,9.855426596117419e-29,0,Positive and negative weekly shock decomposition.
cheese,CHEESE,FarmGate -> Producer,NARDL,weekly_smoothed,0.6621107881616697,0.03834118735842337,1.7534269963552374e-07,7.761431401471645e-12,0,Positive and negative weekly shock decomposition.
