product,product_label,link,model_family,data_variant,ljungbox_p,bp_p,white_p,jb_p,stability_flag,notes
sour_cream,Sour cream,FarmGate -> Procurement,NARDL,weekly_raw,0.29283653304645624,0.7586454350139352,0.2558714118452411,0.256616262910052,0,Positive and negative weekly shock decomposition.
sour_cream,Sour cream,FarmGate -> Procurement,NARDL,weekly_smoothed,0.5579538415235893,0.3348019149958384,0.9030027809157153,0.1819728382942533,0,Positive and negative weekly shock decomposition.
