week,farmgate_index_weekly,producer_index_weekly,procurement_index_weekly,retail_index_weekly,consumer_index_weekly
2025-10-20,15.673093581443375,118.66786220061513,121.51098213419321,60.827716291831834,140.7116571694606
2025-10-27,15.524091614467444,116.1777299933922,121.31159407890293,61.533930497116096,144.9069439796755
2025-11-03,15.61505556559161,113.97874697548086,120.73048900455544,60.63756093255509,143.71596021262783
2025-11-10,15.857534537165455,113.2492061129702,107.96223089208293,61.095897159611546,143.59414764175648
2025-11-17,15.946552012709269,112.43442421489404,108.73883483155598,61.76587531125691,143.38639998681265
2025-11-24,15.846483328734834,110.6203516826449,119.13235856215844,61.66865027990846,141.4763586555444
2025-12-01,15.635600327661098,108.16553106419052,125.45369875727691,62.24195767948818,138.43003115394183
2025-12-08,15.453444225086285,106.13940789393561,109.38215371069757,62.984217159156486,136.1226681699525
2025-12-15,15.364762900190236,104.93700299339162,109.39718408751669,127.44609483073909,135.20785473446634
2025-12-22,15.38033923459717,104.0109308045168,103.47650080443641,106.14206993905987,134.65842799749987
2026-01-05,14.57659688595679,106.21179817349088,115.40162064259258,90.52314194868555,129.41181464164418
