week,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly
2025-10-20,41.56418392732076,42.0,59.91374999999999
2025-10-27,41.39225856496826,42.150000000000006,60.99
2025-11-03,41.11303894242569,42.0,59.99
2025-11-10,41.06952586101163,40.6,60.99
2025-11-17,40.865909047421354,40.0,61.49
2025-11-24,40.52182823506475,42.445,62.49
2025-12-01,40.18806897402095,43.334999999999994,61.507820512820516
2025-12-08,39.83502134627476,42.0,63.49
2025-12-15,39.58270105584266,42.0,51.864999999999995
2025-12-22,39.471619343390984,39.8,57.489999999999995
2026-01-05,38.609095415739475,42.510000000000005,60.99
