week,farmgate_combined_linear_weekly,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly,consumer_linear_weekly
2025-10-20,15.673093581443375,120.9954273039435,146.1,59.36393382352941,155.5016872565915
2025-10-27,15.524091614467444,124.6809474624847,139.36,58.32142857142858,154.4130466681532
2025-11-03,15.61505556559161,124.8272733946052,125.625,59.305084745762706,152.8759180542963
2025-11-10,15.857534537165455,125.447618086995,120.9,59.988749999999996,153.0041240680206
2025-11-17,15.946552012709269,125.7197132388856,109.92,60.74,152.5907751767153
2025-11-24,15.846483328734834,124.0222448446323,119.295,57.74,149.1774297939636
2025-12-01,15.635600327661098,119.5897116479775,140.75,60.238749999999996,141.6695157541589
2025-12-08,15.453444225086285,115.5546125158734,129.75,59.72727272727273,134.8782117461068
2025-12-15,15.364762900190236,111.9302000015772,142.86,64.49,128.8329932618869
2025-12-22,15.38033923459717,108.9894172828574,119.28,72.99,123.8549689277439
2026-01-05,14.57659688595679,107.2102619138061,129.8,56.14,134.0146236343532
