week,farmgate_combined_linear_weekly,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly,consumer_linear_weekly
2025-10-20,15.673093581443375,41.56418392732076,42.0,59.91374999999999,59.86805091079116
2025-10-27,15.524091614467444,41.39225856496826,42.150000000000006,60.99,64.39019287783962
2025-11-03,15.61505556559161,41.11303894242569,42.0,59.99,63.99306308713028
2025-11-10,15.857534537165455,41.06952586101163,40.6,60.99,63.11956995420638
2025-11-17,15.946552012709269,40.865909047421354,40.0,61.49,62.01224738771032
2025-11-24,15.846483328734834,40.52182823506475,42.445,62.49,60.70480951286018
2025-12-01,15.635600327661098,40.18806897402095,43.334999999999994,61.507820512820516,59.42132576964262
2025-12-08,15.453444225086285,39.83502134627476,42.0,63.49,58.11763480076205
2025-12-15,15.364762900190236,39.58270105584266,42.0,51.864999999999995,56.96192607545915
2025-12-22,15.38033923459717,39.471619343390984,39.8,57.489999999999995,56.00052457231417
2026-01-05,14.57659688595679,38.609095415739475,42.510000000000005,60.99,52.33334322286063
