standardized_type,ua_series,n_obs,speed_pos,p_speed_pos,speed_neg,p_speed_neg,speed_diff
butter,Prozorro,37,0.5831679805574669,0.0030016725979903737,0.6246473305720635,0.06082399193185751,-0.04147935001459657
hard_cheese,Prozorro,37,0.981888821390918,1.2260041847151948e-07,0.5314430780985547,0.00011352216070957981,0.4504457432923633
milk,Prozorro,37,0.5147453129024125,0.0038739438514865006,1.3770466729886242,1.872593848215074e-07,-0.8623013600862116
