term,coef,pvalue,n_obs,r2,standardized_type
dlog_bm,0.12335095128245914,0.8205137540156,698,0.0021012655385544976,butter
r_Івано-Франківська,-0.02321264485338256,0.7638318794236412,698,0.0021012655385544976,butter
r_Волинська,-0.04457380808113664,0.5329665413108806,698,0.0021012655385544976,butter
r_Вінницька,-0.026345636004172467,0.7273074004464949,698,0.0021012655385544976,butter
r_Дніпропетровська,-0.010640722852432725,0.903072350178138,698,0.0021012655385544976,butter
r_Донецька,-0.029339008355497496,0.7567644695569662,698,0.0021012655385544976,butter
r_Житомирська,-0.03146162328502958,0.6625108909791881,698,0.0021012655385544976,butter
r_Закарпатська,-0.054758165048372526,0.5100862886852772,698,0.0021012655385544976,butter
r_Запорізька,-0.032211392726944,0.7145514508980333,698,0.0021012655385544976,butter
r_Київська,-0.029853687946983044,0.6739412631083275,698,0.0021012655385544976,butter
r_Кіровоградська,-0.03212597510455595,0.7382748055779016,698,0.0021012655385544976,butter
r_Львівська,-0.041434481657331254,0.5721810073306329,698,0.0021012655385544976,butter
r_Миколаївська,-0.003491584289038722,0.9775127052082473,698,0.0021012655385544976,butter
r_Одеська,-0.020533720516133266,0.7950814888871212,698,0.0021012655385544976,butter
r_Полтавська,-0.027367549411982585,0.7269261595369807,698,0.0021012655385544976,butter
r_Рівненська,-0.04426054949447122,0.5387916403642032,698,0.0021012655385544976,butter
r_Сумська,-0.0390532113953345,0.6266034361653753,698,0.0021012655385544976,butter
r_Тернопільська,-0.034388099055890464,0.6395531078754937,698,0.0021012655385544976,butter
r_Харківська,-0.022844997327974802,0.765076556207367,698,0.0021012655385544976,butter
r_Херсонська,-0.00909933873468827,0.9514948148178106,698,0.0021012655385544976,butter
r_Хмельницька,-0.021847376897029012,0.7627568447159139,698,0.0021012655385544976,butter
r_Черкаська,-0.03023375344053992,0.7010140450863666,698,0.0021012655385544976,butter
r_Чернівецька,-0.03394105647081255,0.6692390936799926,698,0.0021012655385544976,butter
r_Чернігівська,-0.025970883178526027,0.7530419416065759,698,0.0021012655385544976,butter
dlog_bm,0.8584358580085417,0.1684984965257016,538,0.012087782189825091,cream
r_Івано-Франківська,0.022345998152749638,0.9264253955359328,538,0.012087782189825091,cream
r_Волинська,0.01594319076211505,0.9468150033482786,538,0.012087782189825091,cream
