standardized_type,ua_series,n_obs,coint_pvalue,lr_beta_bm,speed_ect,p_speed_ect
butter,Prozorro,37,0.031401120792661254,-0.318689025219574,0.600834251660879,7.203129718702678e-08
hard_cheese,Prozorro,37,9.221031496079743e-05,-0.8728800594620241,0.7496486442951762,5.822036622426854e-12
milk,Prozorro,37,0.04324698959346926,0.12046536472916003,0.9894106059693173,2.0047706523107608e-13
