date,product,price_uah_kg,package_price_uah,discount_incidence,discount_pct,n_sku,n_rows,ok_uah_kg_share
2025-10-21,butter,,69.99,0.24112607099143207,20.060372127428938,120,817,0.0
2025-10-21,condensed_milk,,64.49,0.2523809523809524,19.943664080601618,30,210,0.0
2025-10-21,cottage_cheese,,59.99,0.24798387096774194,21.939638031108426,72,496,0.0
2025-10-21,cream,,55.99,0.32673267326732675,21.47836719804954,70,505,0.0
2025-10-21,drinking_milk,,59.9,0.2641242937853107,20.669828081066644,206,1416,0.0
2025-10-21,kefir,,53.99,0.2724358974358974,22.83774841878406,93,624,0.0
2025-10-21,other_dairy,,58.945,0.2739816031537451,21.60692065579162,219,1522,0.0
2025-10-21,soft_cheese,,50.24,0.3629943502824859,21.40175881446033,105,708,0.0
2025-10-21,sour_cream,,54.99,0.2707253886010363,20.869129993444233,113,772,0.0
2025-10-21,yogurt,,53.99,0.28555208629009365,21.875937238363658,516,3523,0.0
2025-10-28,butter,,69.9,0.23850931677018633,20.765725099853455,117,805,0.0
2025-10-28,condensed_milk,,59.99,0.2186046511627907,21.490457086780566,31,215,0.0
2025-10-28,cottage_cheese,,57.99,0.2028397565922921,24.442158592721707,72,493,0.0
2025-10-28,cream,,59.99,0.2977867203219316,22.51245763236632,69,497,0.0
2025-10-28,drinking_milk,,59.99,0.24135497529992944,21.609153210507785,203,1417,0.0
2025-10-28,kefir,,53.99,0.22906793048973143,23.276912315411064,93,633,0.0
2025-10-28,other_dairy,,60.99,0.2468480424684804,21.709195189783348,218,1507,0.0
2025-10-28,soft_cheese,,51.49,0.3464788732394366,21.671927459492203,104,710,0.0
2025-10-28,sour_cream,,54.49,0.24438573315719947,21.70012428742564,107,757,0.0
2025-10-28,yogurt,,52.9,0.2961472110408281,22.220659567680315,497,3478,0.0
2025-11-04,butter,661.1111111111111,74.24,0.25180722891566265,21.25702286454534,142,830,0.02650602409638554
2025-11-04,condensed_milk,219.9666666666667,64.49,0.2033898305084746,19.12949989343689,50,236,0.08050847457627118
