date,product,retailer,price_uah_kg,package_price_uah,discount_incidence,discount_pct,n_sku,n_rows,ok_uah_kg_share
2025-11-18,butter,silpo,,75.99,0.17472118959107807,27.073253167847028,115,807,0.0
2025-11-18,condensed_milk,silpo,,60.99,0.21658986175115208,23.97451038376918,31,217,0.0
2025-11-18,cottage_cheese,novus,239.9714285714286,83.99,0.0,,1,1,1.0
2025-11-18,cottage_cheese,silpo,,59.99,0.2167689161554192,27.49381058407829,70,489,0.0
2025-11-18,cream,novus,318.4161764705882,56.89,0.0,,4,4,1.0
2025-11-18,cream,silpo,,54.99,0.3163265306122449,25.198118957622192,68,490,0.0
2025-11-18,drinking_milk,novus,69.15833333333333,84.99,0.0,,2,2,1.0
2025-11-18,drinking_milk,silpo,,60.99,0.23314203730272598,25.039492552820676,201,1394,0.0
2025-11-18,kefir,silpo,,55.99,0.1990521327014218,23.058214946937447,91,633,0.0
2025-11-18,other_dairy,novus,121.6333333333333,36.49,0.0,,1,1,1.0
2025-11-18,other_dairy,silpo,,59.99,0.2602921646746348,24.004801208998277,218,1506,0.0
2025-11-18,soft_cheese,novus,484.55555555555554,63.489999999999995,0.0,,4,4,1.0
2025-11-18,soft_cheese,silpo,,51.49,0.2830188679245283,22.835965493833832,101,689,0.0
2025-11-18,sour_cream,novus,216.6333333333333,64.99,0.0,,1,1,1.0
2025-11-18,sour_cream,silpo,,57.99,0.2154255319148936,23.283163829298665,108,752,0.0
2025-11-18,yogurt,novus,229.9,22.99,0.0,,3,3,1.0
2025-11-18,yogurt,silpo,,54.9,0.26914285714285713,24.4037262380881,501,3500,0.0
2025-11-25,butter,novus,577.7777777777778,104.0,0.0,,1,1,1.0
2025-11-25,butter,silpo,,72.49,0.1618569636135508,24.3970635341457,114,797,0.0
2025-11-25,condensed_milk,novus,198.8888888888889,179.0,0.0,,1,1,1.0
2025-11-25,condensed_milk,silpo,,65.99,0.12962962962962962,23.464285714285715,31,216,0.0
2025-11-25,cottage_cheese,novus,400.08985507246376,75.49,0.0,,2,2,1.0
2025-11-25,cottage_cheese,silpo,,57.99,0.2249488752556237,25.836250091458833,70,489,0.0
2025-11-25,cream,novus,697.5,114.0,0.0,,3,3,1.0
2025-11-25,cream,silpo,,54.99,0.24385245901639344,21.568665577908526,67,488,0.0
2025-11-25,drinking_milk,novus,44.43333333333334,39.99,0.0,,1,1,1.0
2025-11-25,drinking_milk,silpo,,61.99,0.19613457408732998,23.408324097176504,199,1397,0.0
2025-11-25,hard_cheese,novus,,499.0,0.0,,1,1,0.0
2025-11-25,kefir,novus,91.15686274509804,46.49,0.0,,1,1,1.0
2025-11-25,kefir,silpo,,56.49,0.1918238993710692,24.15659818409006,91,636,0.0
2025-11-25,other_dairy,novus,259.9,67.495,0.0,,2,2,0.5
2025-11-25,other_dairy,silpo,,60.49,0.22739361702127658,22.677200163659517,216,1504,0.0
2025-11-25,soft_cheese,novus,513.6111111111111,27.99,0.0,,9,9,0.6666666666666666
2025-11-25,soft_cheese,silpo,,50.9,0.2755102040816326,23.202439740972693,100,686,0.0
2025-11-25,sour_cream,novus,147.11190476190478,47.49,0.0,,2,2,1.0
2025-11-25,sour_cream,silpo,,54.99,0.205607476635514,23.157109888181157,105,749,0.0
2025-11-25,yogurt,novus,134.695652173913,19.49,0.0,,3,3,1.0
2025-11-25,yogurt,silpo,,54.99,0.2520138089758343,23.278115749305137,493,3476,0.0
2025-12-02,butter,novus,814.1666666666667,156.5,0.0,,2,2,1.0
2025-12-02,butter,silpo,,76.49,0.2046783625730994,22.308001725753286,113,342,0.0
2025-12-02,condensed_milk,silpo,,59.99,0.11827956989247312,19.0,31,93,0.0
2025-12-02,cottage_cheese,novus,277.7627705627706,94.49,0.0,,2,2,1.0
2025-12-02,cottage_cheese,silpo,,56.99,0.3023255813953488,24.835592942569495,73,215,0.0
2025-12-02,cream,novus,616.0,98.99,0.0,,3,3,1.0
2025-12-02,cream,silpo,,57.74,0.3047619047619048,22.604039211252964,67,210,0.0
2025-12-02,drinking_milk,novus,198.86666666666667,74.49,0.0,,4,4,1.0
2025-12-02,drinking_milk,silpo,,58.99,0.22278056951423786,22.513206491796844,198,597,0.0
2025-12-02,hard_cheese,novus,707.0175438596492,201.5,0.0,,2,2,1.0
2025-12-02,kefir,silpo,,58.24,0.25,24.60336361562376,91,272,0.0
2025-12-02,other_dairy,novus,259.9,25.99,0.0,,3,3,1.0
2025-12-02,other_dairy,silpo,,59.99,0.296583850931677,22.63857500502607,212,644,0.0
2025-12-02,soft_cheese,novus,692.2307692307692,89.99,0.0,,4,4,0.75
2025-12-02,soft_cheese,silpo,,48.69,0.2956810631229236,20.9325374186503,102,301,0.0
2025-12-02,sour_cream,novus,167.5405405405405,61.99,0.0,,1,1,1.0
2025-12-02,sour_cream,silpo,,55.24,0.2360248447204969,22.68666318201922,106,322,0.0
2025-12-02,yogurt,novus,159.9642857142857,44.79,0.0,,5,5,1.0
2025-12-02,yogurt,silpo,,54.9,0.2729096989966555,23.21662306561556,495,1495,0.0
2025-12-09,butter,novus,661.1111111111111,204.0,0.0,,2,2,0.5
2025-12-09,butter,silpo,,70.195,0.2692307692307692,20.247612204368245,113,338,0.0
