retailer,product,date,price_package_median_uah,discount_share,discount_depth_median_pct,n_skus,n_obs
novus,butter,2025-11-04,114.0,0.0,,42,42
novus,butter,2025-11-15,139.0,0.0,,1,1
novus,butter,2025-11-16,114.0,0.0,,2,2
novus,butter,2025-11-24,82.99,0.0,,1,1
novus,butter,2025-11-28,104.0,0.0,,1,1
novus,butter,2025-12-03,74.99,0.0,,1,1
novus,butter,2025-12-06,156.5,0.0,,2,2
novus,butter,2025-12-10,119.0,0.0,,1,1
novus,butter,2025-12-11,289.0,0.0,,1,1
novus,butter,2025-12-13,84.99,0.0,,1,1
novus,butter,2025-12-14,87.99,0.0,,1,1
novus,butter,2025-12-19,154.0,0.0,,1,1
novus,butter,2025-12-24,84.99,0.0,,1,1
novus,butter,2025-12-26,77.99,0.0,,3,3
novus,butter,2026-01-06,52.99,0.0,,1,1
novus,butter,2026-01-07,99.99,0.0,,1,1
novus,butter,2026-01-08,98.99,0.0,,22,22
novus,condensed_milk,2025-11-04,79.49,0.0,,26,26
novus,condensed_milk,2025-11-12,97.99,0.0,,1,1
novus,condensed_milk,2025-11-28,179.0,0.0,,1,1
novus,condensed_milk,2025-12-13,63.99,0.0,,1,1
novus,condensed_milk,2025-12-17,93.99,0.0,,1,1
novus,condensed_milk,2025-12-26,65.99,0.0,,1,1
novus,condensed_milk,2026-01-07,174.0,0.0,,2,2
novus,condensed_milk,2026-01-08,99.99,0.0,,7,7
novus,cottage_cheese,2025-11-04,82.99,0.0,,42,42
novus,cottage_cheese,2025-11-05,77.99,0.0,,1,1
novus,cottage_cheese,2025-11-06,77.99,0.0,,1,1
novus,cottage_cheese,2025-11-10,50.99,0.0,,1,1
novus,cottage_cheese,2025-11-21,83.99,0.0,,1,1
novus,cottage_cheese,2025-11-26,88.99,0.0,,1,1
novus,cottage_cheese,2025-11-29,61.99,0.0,,1,1
novus,cottage_cheese,2025-12-03,94.49,0.0,,2,2
novus,cottage_cheese,2025-12-05,28.49,0.0,,1,1
