retailer,product,date,price_observed_median_uah_kg,price_baseline_median_uah_kg,discount_share,discount_depth_median_pct,n_skus,n_obs
novus,sour_cream,2025-12-16,209.96666666666664,209.96666666666664,0.0,,3,4
novus,sour_cream,2025-12-23,303.3166666666667,303.3166666666667,0.0,,2,2
novus,sour_cream,2026-01-06,187.13333333333335,187.13333333333335,0.0,,18,19
novus,yogurt,2025-11-04,167.7780172413793,167.7780172413793,0.0,,173,176
novus,yogurt,2025-11-11,133.7586206896552,133.7586206896552,0.0,,2,4
novus,yogurt,2025-11-18,190.53108108108108,190.53108108108108,0.0,,2,3
novus,yogurt,2025-11-25,148.405900621118,148.405900621118,0.0,,2,3
novus,yogurt,2025-12-02,159.9642857142857,159.9642857142857,0.0,,3,5
novus,yogurt,2025-12-09,145.79583333333335,145.79583333333335,0.0,,2,5
novus,yogurt,2025-12-16,197.85,197.85,0.0,,4,5
novus,yogurt,2025-12-23,194.0094117647059,194.0094117647059,0.0,,5,6
novus,yogurt,2026-01-06,149.9,149.9,0.0,,39,44
silpo,drinking_milk,2025-10-21,1.026210526315789,1.026210526315789,0.0,,1,1
silpo,drinking_milk,2025-10-28,1.042105263157895,1.3894736842105266,1.0,21.0,1,1
silpo,drinking_milk,2025-11-11,1.034157894736842,1.034157894736842,0.0,,1,2
silpo,drinking_milk,2025-11-18,1.034157894736842,1.034157894736842,0.0,,1,2
silpo,drinking_milk,2025-11-25,1.042105263157895,1.042105263157895,0.0,,1,1
