date,period,basis,territory,product,index_value
2018-06-01,2018-M06,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-06-01,2018-M06,До попереднього місяця,Україна,livestock_products,99.8
2018-07-01,2018-M07,До попереднього місяця,Україна,livestock_products,100.8
2018-07-01,2018-M07,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-08-01,2018-M08,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-08-01,2018-M08,До попереднього місяця,Україна,livestock_products,99.9
2018-09-01,2018-M09,До відповідного періоду попереднього року,Україна,livestock_products,117.2
2018-09-01,2018-M09,До попереднього місяця,Україна,livestock_products,101.0
2018-10-01,2018-M10,До відповідного періоду попереднього року,Україна,livestock_products,117.1
2018-10-01,2018-M10,До попереднього місяця,Україна,livestock_products,99.8
2018-11-01,2018-M11,До відповідного періоду попереднього року,Україна,livestock_products,116.8
2018-11-01,2018-M11,До попереднього місяця,Україна,livestock_products,98.8
2018-12-01,2018-M12,До попереднього місяця,Україна,livestock_products,99.5
2018-12-01,2018-M12,До відповідного періоду попереднього року,Україна,livestock_products,116.2
2019-01-01,2019-M01,До відповідного періоду попереднього року,Україна,livestock_products,109.1
2019-01-01,2019-M01,До попереднього місяця,Україна,livestock_products,100.6
2019-02-01,2019-M02,До відповідного періоду попереднього року,Україна,livestock_products,107.8
2019-02-01,2019-M02,До попереднього місяця,Україна,livestock_products,99.8
2019-03-01,2019-M03,До відповідного періоду попереднього року,Україна,livestock_products,106.7
2019-03-01,2019-M03,До попереднього місяця,Україна,livestock_products,101.5
2019-04-01,2019-M04,До відповідного періоду попереднього року,Україна,livestock_products,105.6
2019-04-01,2019-M04,До попереднього місяця,Україна,livestock_products,100.9
2019-05-01,2019-M05,До попереднього місяця,Україна,livestock_products,99.5
2019-05-01,2019-M05,До відповідного періоду попереднього року,Україна,livestock_products,104.6
2019-06-01,2019-M06,До відповідного періоду попереднього року,Україна,livestock_products,103.8
2019-06-01,2019-M06,До попереднього місяця,Україна,livestock_products,98.5
2019-07-01,2019-M07,До відповідного періоду попереднього року,Україна,livestock_products,103.1
2019-07-01,2019-M07,До попереднього місяця,Україна,livestock_products,100.1
2019-08-01,2019-M08,До відповідного періоду попереднього року,Україна,livestock_products,102.3
2019-08-01,2019-M08,До попереднього місяця,Україна,livestock_products,97.1
2019-09-01,2019-M09,До відповідного періоду попереднього року,Україна,livestock_products,101.2
2019-09-01,2019-M09,До попереднього місяця,Україна,livestock_products,97.1
2019-10-01,2019-M10,До попереднього місяця,Україна,livestock_products,99.4
2019-10-01,2019-M10,До відповідного періоду попереднього року,Україна,livestock_products,100.4
2019-11-01,2019-M11,До відповідного періоду попереднього року,Україна,livestock_products,99.6
2019-11-01,2019-M11,До попереднього місяця,Україна,livestock_products,98.1
2019-12-01,2019-M12,До відповідного періоду попереднього року,Україна,livestock_products,99.06
2019-12-01,2019-M12,До попереднього місяця,Україна,livestock_products,100.27
2020-01-01,2020-M01,До відповідного періоду попереднього року,Україна,livestock_products,92.95
