date,period,territory,indicator,flow,milk_product_raw,product,unit_raw,value,value_uah_kg_or_tonne
2025-09-01,2025-M09,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-09-01,2025-M09,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-09-01,2025-M09,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-10-01,2025-M10,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-10-01,2025-M10,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-10-01,2025-M10,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-11-01,2025-M11,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-11-01,2025-M11,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-11-01,2025-M11,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-12-01,2025-M12,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-12-01,2025-M12,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-12-01,2025-M12,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-01-01,2026-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-01-01,2026-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-01-01,2026-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-02-01,2026-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-02-01,2026-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-02-01,2026-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-03-01,2026-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2026-03-01,2026-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
