product,product_label,link,model_family,data_variant,n_obs,sr_coef,lr_coef,ect_coef,cointegration_p,lag_order,asymmetry_pvalue,model_reliability
cream,Cream,FarmGate -> Procurement,NARDL,weekly_raw,37,1.1591020714056872,3.7231426049930505,-1.3759855543257662,,1,0.006295442485870786,reliable
cream,Cream,FarmGate -> Procurement,NARDL,weekly_smoothed,39,1.9103185815814259,1.5337996460209204,-0.31597719495680343,,1,0.26230172927179707,conditionally_usable
