product,product_label,link,model_family,data_variant,n_obs,sr_coef,lr_coef,ect_coef,cointegration_p,lag_order,asymmetry_pvalue,model_reliability
milk,Drinking milk / fermented milk,Producer -> Procurement,ECM,weekly_raw,36,-0.41196267589904556,0.0918139757216575,-0.8225729991750177,6.145029217840475e-10,2,,reliable
milk,Drinking milk / fermented milk,Producer -> Procurement,ECM,weekly_smoothed,39,-1.4911643519950861,0.08171497577539288,-0.4376803688177019,0.0031472957403874354,1,,reliable
