hypothesis,source_block,model_family,frequency,link,product,product_label,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,admissibility_status,mapping_type,diagnostic_ljungbox_p,asymmetry_pvalue,reliability_raw,interpretation_source,diagnostic_bp_p,r2,detail,data_layer,x_product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,abs_coef,large_coef_flag,peak_coef_flag,intersection_score,significant_flag,direct_bad_link_flag,integrated_reliability,thesis_use
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,cheese,CHEESE,210.0,0.3696943250057652,0.0001099971033868,-0.0586132247211812,0.0001099971033868,,acceptable,inferred,0.6621107881616697,0.6478916886778734,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.3696943250057652,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,ECM,weekly/monthly,Producer -> Procurement,cheese,CHEESE,39.0,0.3801538313029881,0.0031630745228683,-0.4543328625282507,0.0031630745228683,0.0647042765243045,weak_extension,direct,0.5289986481176518,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.3801538313029881,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,cheese,CHEESE,37.0,0.916364518989341,1.1081061965397555e-14,-1.3593184843244135,1.1081061965397555e-14,,weak_extension,direct,0.1935711583793414,0.0229700519552916,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.916364518989341,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,cheese,CHEESE,39.0,1.1017986058992757,9.240452705772813e-08,-0.9640191943273784,9.240452705772813e-08,,weak_extension,direct,0.6782088474016669,0.000416027560944,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.1017986058992757,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Procurement,condensed_milk,Condensed milk,38.0,-0.511650269042704,6.188865138298591e-09,-0.7199449064244315,6.188865138298591e-09,0.0122746416774004,weak_extension,inferred,0.9473696784437584,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.511650269042704,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,condensed_milk,Condensed milk,34.0,-5.5359463310256345,1.0829549654726688e-14,-1.7218128132721169,1.0829549654726688e-14,,weak_extension,inferred,0.1396938907559498,0.0011340606117965,reliable,previous model output,,,,,,,,,,,,,,,,,,,5.5359463310256345,True,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,condensed_milk,Condensed milk,39.0,-5.028589071349433,0.000175129134129,-0.645521258064599,0.000175129134129,,weak_extension,inferred,0.1974063985508127,0.0468270189561373,reliable,previous model output,,,,,,,,,,,,,,,,,,,5.028589071349433,True,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,cream,Cream,37.0,3.7231426049930505,3.4007061989510437e-06,-1.3759855543257662,3.4007061989510437e-06,,weak_extension,inferred,0.7388076738321718,0.0062954424858707,reliable,previous model output,,,,,,,,,,,,,,,,,,,3.7231426049930505,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,cream,Cream,39.0,1.5337996460209204,0.0029940551569996,-0.3159771949568034,0.0029940551569996,,weak_extension,inferred,0.2154347849310611,0.262301729271797,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,1.5337996460209204,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Procurement,milk,Drinking milk / fermented milk,36.0,0.0501962852830187,0.0086918822230469,-0.6184361184100915,0.0086918822230469,1.124384497457232e-09,weak_extension,direct,0.979094159522584,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.0501962852830187,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
