model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,reliability_raw,admissibility_status,mapping_type
Local Projection h=3 month,106,0.7679293560003921,0.010288214417124013,,,,5.994616828842428e-14,0.25884494494185445,0.1831361006600538,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,sour_cream,sour_cream,2017-02-01,2026-03-01,,,,,,,3.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Local Projection h=6 month,103,0.4739391351588655,0.04502897980701257,,,,4.096908014674038e-33,0.4754793077972722,0.030459606144283446,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,sour_cream,sour_cream,2017-02-01,2026-03-01,,,,,,,6.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
DOLS,36,0.8904577618554178,9.767717102206359e-37,,0.6592317982464969,0.6592317982464969,2.21114598426514e-05,0.767487284928553,0.9070325866800399,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H2,newmodel_v2,official_monthly,monthly,ProZorro -> Consumer,drinking_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,weak_extension,direct_or_title_repaired
Threshold ECM (Loy-style),37,0.831804069031002,4.885453968393662e-14,-0.14431393300042647,0.0012926647306545234,0.4673533397512346,0.3678186078969135,0.9330806856087179,0.3864775091318229,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2,official_monthly,monthly,ProZorro -> Consumer,drinking_milk,drinking_milk,2023-02-01,2026-03-01,0.14726813339124142,0.29453626678248285,0.002954200390814947,-0.2915820663916679,0.9559907259801795,0.0012926647306545234,,,,,,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 month,36,0.03890010150798486,0.26704663044896637,,,,0.19477737581130508,0.15883663390196995,0.14591387083433938,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,ProZorro -> Consumer,drinking_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=3 month,34,0.15140641336035,0.12274742124620582,,,,1.7318517845163512e-06,0.3325005368926607,0.14346516715808078,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,ProZorro -> Consumer,drinking_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=6 month,31,0.12319471128841555,0.3260202768686502,,,,3.753509219872762e-08,0.38048430976333847,0.09551751204430159,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,ProZorro -> Consumer,drinking_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),46,0.02836449007246533,0.6746599645891844,-0.7102850477867365,0.017944965079843906,0.0007279889698981206,0.6873230800329024,0.08129576577369989,0.3824280500400501,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,butter,butter,2025-10-22,2025-12-13,0.7102850477867365,0.7297741031329485,-0.3453979962202623,-1.0751720993532108,0.1611547060745807,0.017944965079843906,,silpo,package_price_uah,0.2196203874563909,114.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,45,-0.078788481645585,0.27867050136701765,,,,0.04173827856257764,0.9183045975428208,0.08330966363292713,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,butter,butter,2025-10-22,2025-12-13,,,,,,,1.0,silpo,package_price_uah,0.2196203874563909,114.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,39,0.12334695601426147,0.10034981906725018,,,,0.00020663814550346183,0.3555492691530691,0.18753703105600295,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,butter,butter,2025-10-22,2025-12-13,,,,,,,7.0,silpo,package_price_uah,0.2196203874563909,114.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=14 day,32,-0.028339509390103032,0.7407726126115479,,,,0.0701429491084579,0.6777670557411113,0.10404769187170415,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,butter,butter,2025-10-22,2025-12-13,,,,,,,14.0,silpo,package_price_uah,0.2196203874563909,114.0,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),46,0.023815406556196628,0.7059094160690872,-1.2064120787869332,5.4725790145157015e-05,1.3216940662689937e-07,0.6670024251179656,0.421595979692992,0.5223053818761094,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2025-12-13,1.2064120787869332,0.2722469922728379,-1.0702885826505144,-1.3425355749233523,0.00048301998650125363,5.4725790145157015e-05,,silpo,package_price_uah,0.20835993503584227,31.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,45,-0.036940422565603676,0.6362045531501967,,,,0.29955792207693765,0.3083045174634162,0.2366386931837029,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2025-12-13,,,,,,,1.0,silpo,package_price_uah,0.20835993503584227,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,39,-0.012519298520188432,0.9044282281745817,,,,0.09660753286630612,0.34767447730988715,0.013960135288204167,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2025-12-13,,,,,,,7.0,silpo,package_price_uah,0.20835993503584227,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,32,-0.17929048445368057,0.01984861966323956,,,,0.3637617238847771,0.6032410930787528,0.15144067569173025,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2025-12-13,,,,,,,14.0,silpo,package_price_uah,0.20835993503584227,31.0,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),46,-0.056695085173168014,0.2888181085391174,-1.0306449489565894,3.304118388406531e-05,0.0002347585300745715,0.5647444045404352,0.493926678185004,0.6272721488300046,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2025-12-13,1.0306449489565894,-0.5132185952588,-1.2872542465859895,-0.7740356513271895,3.304118388406531e-05,0.0010404008023052974,,silpo,package_price_uah,0.23632834142536377,70.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,45,-0.09489140298936967,0.1286518049228378,,,,0.08146061061426894,0.5512796912754432,0.13726840059533396,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2025-12-13,,,,,,,1.0,silpo,package_price_uah,0.23632834142536377,70.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=7 day,39,0.05985992959856162,0.3716613502594569,,,,0.19861969128545212,0.9599651794082118,0.05510233295366107,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2025-12-13,,,,,,,7.0,silpo,package_price_uah,0.23632834142536377,70.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,32,-0.11585626224322933,0.009746619804996168,,,,0.6285492918144044,0.8047903988743985,0.18378899679986105,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2025-12-13,,,,,,,14.0,silpo,package_price_uah,0.23632834142536377,70.0,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),46,-0.07420034825159805,0.26290812944841496,-0.7248787143284647,0.0012895959710735247,6.7002999689180295e-06,0.8945665779654248,0.7347796138115883,0.46689916082112615,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2025-12-13,0.7248787143284647,0.006032827086216552,-0.7218623007853565,-0.7278951278715731,0.0018546325024274464,0.0012895959710735247,,silpo,package_price_uah,0.2430768535021441,198.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,45,0.11667207036017765,0.21219428321257072,,,,0.31229286797750444,0.21391995605190386,0.08362056993029987,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2025-12-13,,,,,,,1.0,silpo,package_price_uah,0.2430768535021441,198.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,39,0.10669933142321836,0.1402153448300264,,,,0.013079349035976257,0.646471641854474,0.02913512326215517,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2025-12-13,,,,,,,7.0,silpo,package_price_uah,0.2430768535021441,198.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=14 day,32,0.09354471780573195,0.45756075810465535,,,,0.24050211709108263,0.001502595673212907,0.039065129914411134,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2025-12-13,,,,,,,14.0,silpo,package_price_uah,0.2430768535021441,198.0,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),46,-0.02245146899158304,0.5713831559016271,-0.6939529003031337,6.528363708200768e-06,4.819173425589909e-05,0.718669586824044,0.39146099290069797,0.423064144103092,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2025-12-13,0.6939529003031337,-0.13472313043013873,-0.761314465518203,-0.6265913350880643,6.528363708200768e-06,0.0002814435458542478,,silpo,package_price_uah,0.2281637601388957,90.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,45,-0.07306910983721569,0.03706131731382769,,,,0.033821852706368796,0.2508807822184191,0.10173199145382394,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2025-12-13,,,,,,,1.0,silpo,package_price_uah,0.2281637601388957,90.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=7 day,39,-0.003823763323818022,0.8056120834407632,,,,0.21047284440524397,0.9438008747334663,0.023078088499368543,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2025-12-13,,,,,,,7.0,silpo,package_price_uah,0.2281637601388957,90.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,32,0.022496637755236918,0.2954401128249424,,,,0.9182027269387345,0.6560697891216825,0.21880655170757468,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2025-12-13,,,,,,,14.0,silpo,package_price_uah,0.2281637601388957,90.0,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),46,0.01510427217881019,0.6694613054231128,-1.0568608528247918,2.4655362940991514e-11,4.456579745519566e-06,0.8897737962435613,0.4483066669778494,0.4817331423351179,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2025-12-13,1.0568608528247918,0.38886395221325776,-0.8624288767181629,-1.2512928289314207,0.002342335794876882,2.4655362940991514e-11,,silpo,package_price_uah,0.3150215360685013,100.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,45,-0.10939045209888434,0.04008041781372191,,,,0.43185044873226813,0.91493459674866,0.14734975853370347,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2025-12-13,,,,,,,1.0,silpo,package_price_uah,0.3150215360685013,100.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=7 day,39,-0.3015062309955553,0.11565988141515034,,,,0.0689107385338215,0.28861743671011186,0.2755762429931292,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2025-12-13,,,,,,,7.0,silpo,package_price_uah,0.3150215360685013,100.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=14 day,32,-0.11799880848625159,2.0181302844530896e-20,,,,0.13406752774801065,0.36938901422791387,0.060425260259807545,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product_retailer,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2025-12-13,,,,,,,14.0,silpo,package_price_uah,0.3150215360685013,100.0,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),52,0.018907251275106507,0.9106424134971289,-0.5099021164896863,0.015420807635675571,0.9893872884126352,0.2471659059910575,0.5940383924340471,0.25069007210417804,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,butter,butter,2025-10-22,2026-01-08,0.5099021164896863,-0.07884767847094004,-0.5493259557251563,-0.47047827725421626,0.015420807635675571,0.22691152737491427,,pooled,package_price_uah,0.19410593092861758,114.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,51,-0.15546809317115368,0.3660867337636118,,,,0.002554340469344639,0.09327210661435874,0.19155755409426367,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,butter,butter,2025-10-22,2026-01-08,,,,,,,1.0,pooled,package_price_uah,0.19410593092861758,114.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,45,-0.323610973551402,0.2630272515005734,,,,0.0644134575225582,0.7274629720041232,0.06887636854122903,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,butter,butter,2025-10-22,2026-01-08,,,,,,,7.0,pooled,package_price_uah,0.19410593092861758,114.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,38,-0.229663497611948,0.38507875018514126,,,,0.1479332918058151,0.21094789530560656,0.038748512760394815,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,butter,butter,2025-10-22,2026-01-08,,,,,,,14.0,pooled,package_price_uah,0.19410593092861758,114.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Threshold ECM (Loy-style),50,0.009347440495778882,0.9485022658201194,-0.008676752319215442,0.8039720861941297,0.9855958728880051,0.6664972596167348,0.0010440023914209283,0.5089575391326017,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2026-01-08,0.15806167913539454,0.3161233582707891,0.1493849268161791,-0.16673843145460998,0.8122245218924096,0.8039720861941297,,pooled,package_price_uah,0.19030345326716297,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=1 day,49,0.05928078465655337,0.7532078155841263,,,,0.07893150440599324,0.0668597073199669,0.1992889386174458,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2026-01-08,,,,,,,1.0,pooled,package_price_uah,0.19030345326716297,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,43,-0.4137712508340983,0.22658831990306694,,,,0.9478557544737133,0.17538385478677315,0.0843737506718022,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2026-01-08,,,,,,,7.0,pooled,package_price_uah,0.19030345326716297,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,36,-0.1400279341193595,0.3694636091138169,,,,0.8737343165277303,0.6355460801035611,0.04473591842676172,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,condensed_milk,condensed_milk,2025-10-22,2026-01-08,,,,,,,14.0,pooled,package_price_uah,0.19030345326716297,31.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Threshold ECM (Loy-style),52,-0.08749077204193556,0.3983441744977275,-0.45673132345357315,0.0008763610483948368,0.7734912864710028,0.9626704862182459,0.3870194413199018,0.31070737203755894,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2026-01-08,0.45673132345357315,0.8664778870423779,-0.023492379932384178,-0.8899702669747621,0.7526187468140597,0.0008763610483948368,,pooled,package_price_uah,0.2080922651448628,70.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,51,-0.0918852597096183,0.11315746863033975,,,,0.11539992542400915,0.9662883395546876,0.04520735430896983,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2026-01-08,,,,,,,1.0,pooled,package_price_uah,0.2080922651448628,70.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=7 day,45,-0.017950644228140064,0.8419046375553404,,,,3.3505749190547915e-06,0.8451694029650156,0.02657698424360866,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2026-01-08,,,,,,,7.0,pooled,package_price_uah,0.2080922651448628,70.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,38,0.018022113840844144,0.8419598271332502,,,,5.7836544555297556e-05,0.6026723917108783,0.038882577367219895,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,cottage_cheese,cottage_cheese,2025-10-22,2026-01-08,,,,,,,14.0,pooled,package_price_uah,0.2080922651448628,70.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Threshold ECM (Loy-style),55,-0.01765201401104788,0.9431206682025208,-1.670121732621567,1.1513908015124896e-23,0.010388857033991094,0.7740896256815009,0.7258321922132277,0.6554646242184523,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2026-01-08,1.670121732621567,-0.2802162350359103,-1.8102298501395222,-1.530013615103612,0.012457115767233799,1.1513908015124896e-23,,pooled,package_price_uah,0.20349420622806305,198.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,54,0.0019704698466581697,0.9929927700119457,,,,2.9900577763626792e-05,0.7393377621589516,0.03914700258220416,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2026-01-08,,,,,,,1.0,pooled,package_price_uah,0.20349420622806305,198.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,48,0.6103481034832122,0.03322801505132841,,,,0.04237195852958183,0.2835170165487789,0.16418320506323802,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2026-01-08,,,,,,,7.0,pooled,package_price_uah,0.20349420622806305,198.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=14 day,41,0.12856320127220042,0.3332193845762157,,,,0.08715990406027616,0.9369148109625538,0.01907830288628709,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,drinking_milk,drinking_milk,2025-10-22,2026-01-08,,,,,,,14.0,pooled,package_price_uah,0.20349420622806305,198.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Threshold ECM (Loy-style),52,0.011849590141217226,0.8284648752126023,-0.5417385935674236,2.5698128173912036e-05,0.0033369227216461256,0.8454489909039941,0.1962526218377593,0.30109443409215864,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2026-01-08,0.5417385935674236,0.403559797845203,-0.3399586946448221,-0.7435184924900251,0.03765597946022662,2.5698128173912036e-05,,pooled,package_price_uah,0.20210482001991636,90.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,51,-0.07270594684107061,0.10585888202946812,,,,0.3021074069582953,0.14177096895183658,0.04415987895665763,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2026-01-08,,,,,,,1.0,pooled,package_price_uah,0.20210482001991636,90.0,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=7 day,45,0.025677030575086034,0.4791814917612265,,,,0.05634398777202303,0.7558631414252621,0.003576622448546285,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2026-01-08,,,,,,,7.0,pooled,package_price_uah,0.20210482001991636,90.0,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,38,0.06322419727714614,0.105631184818465,,,,0.5576144538434845,0.6194961858538577,0.1007046454341507,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,kefir,kefir,2025-10-22,2026-01-08,,,,,,,14.0,pooled,package_price_uah,0.20210482001991636,90.0,probable / needs validation,weak_extension,direct_or_title_repaired
Threshold ECM (Loy-style),53,-0.1880929452730138,0.33032067624118344,-0.2043898112304188,7.098411285273117e-05,0.0020972043486350476,0.9568259317383757,0.08176812955963188,0.3929283439155543,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2026-01-08,0.4994211940714708,-0.9988423881429416,-0.7038110053018896,0.29503138284105196,7.098411285273117e-05,0.5142656922744142,,pooled,package_price_uah,0.2549318309307138,100.5,probable / needs validation,weak_extension,direct_or_title_repaired
Local Projection h=1 day,52,-1.0112997381925388,0.25349405441219086,,,,0.26287848727853863,0.7222743641275662,0.06960467274403348,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2026-01-08,,,,,,,1.0,pooled,package_price_uah,0.2549318309307138,100.5,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=7 day,46,0.19858683988666243,0.662158519902821,,,,0.3274210415157893,0.8516733656182518,0.003644782890372511,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2026-01-08,,,,,,,7.0,pooled,package_price_uah,0.2549318309307138,100.5,unreliable / appendix only,weak_extension,direct_or_title_repaired
Local Projection h=14 day,39,-0.9951307439868942,4.9934327390734675e-08,,,,0.10976673813118555,0.7907020168110582,0.22950055922423773,Jorda local projection pass-through response.,H2,newmodel_v2_retail,retail_v2_daily_product,daily,ProZorro -> Retail,soft_cheese,soft_cheese,2025-10-22,2026-01-08,,,,,,,14.0,pooled,package_price_uah,0.2549318309307138,100.5,probable / needs validation,weak_extension,direct_or_title_repaired
