model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,reliability_raw,admissibility_status,mapping_type
DOLS,126,0.9667146548651722,0.0,,0.15233580000216995,0.15233580000216995,4.622483158011204e-62,0.015074698239173998,0.9900455518028711,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,kefir,2015-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Threshold ECM (Loy-style),129,0.9626797638227573,2.1108525516541437e-110,0.01777534907264019,0.6891608869240917,0.006762792949678886,0.051470620210114525,0.013161741987571161,0.22365258682400257,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,kefir,2015-02-01,2026-03-01,0.01777534907264019,0.010416663629678993,0.022983680887479683,0.01256701725780069,0.6891608869240917,0.8195456265777382,,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=1 month,128,0.14320787463865,0.008640392459736896,,,,0.00019016491581719898,0.00044471484343267106,0.17799549386946334,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,kefir,2015-02-01,2026-03-01,,,,,,,1.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Local Projection h=3 month,126,0.12771099126183286,0.13046252794283622,,,,6.363493748140655e-35,0.1715852817182614,0.0608143192925753,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,kefir,2015-02-01,2026-03-01,,,,,,,3.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Local Projection h=6 month,123,-0.09664687748422175,0.1980437993542269,,,,1.8696665861390215e-29,0.03911129289754532,0.16775089715110547,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,kefir,2015-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
DOLS,126,0.7964502333957557,2.6218236092960644e-97,,0.37973059619131255,0.37973059619131255,3.6544068424647864e-149,0.8233183699405532,0.9115985925970176,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,skim_milk_powder,2015-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Threshold ECM (Loy-style),129,0.7803301114935992,1.4001044413309458e-67,-0.012167748114839994,0.5091546921873026,0.30586536416935806,0.6638886831907121,0.40514377965437576,0.1667491182222257,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,skim_milk_powder,2015-02-01,2026-03-01,0.012889372554639945,-0.02577874510927989,-0.02505712066947994,0.0007216244397999505,0.5091546921873026,0.9863507664118422,,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=1 month,128,0.07916400491785602,0.12928778927991447,,,,0.012789369369005243,0.6607188689887302,0.046544308179446214,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,skim_milk_powder,2015-02-01,2026-03-01,,,,,,,1.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Local Projection h=3 month,126,0.08093937422718708,0.48840179563926756,,,,9.343500738003695e-20,0.5284582176527655,0.03663768006784196,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,skim_milk_powder,2015-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,acceptable,direct_or_title_repaired
Local Projection h=6 month,123,-0.37080539662341094,0.001989274276355271,,,,1.2999562895003672e-36,0.7718052116705523,0.1265249344572541,Jorda local projection pass-through response.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,skim_milk_powder,2015-02-01,2026-03-01,,,,,,,6.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
DOLS,126,0.9206399148973934,0.0,,0.09900114131519533,0.09900114131519533,2.1153799497942603e-51,0.10264307240875904,0.98639310498816,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,official_monthly,monthly,FarmGate -> Processor,raw_milk,sour_cream,2015-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
