product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,lag_spread_coef,lag_spread_p,upstream_pos_coef,upstream_pos_p,upstream_neg_abs_coef,upstream_neg_abs_p,asymmetry_pvalue,discount_share_coef,discount_share_p,discount_depth_coef,discount_depth_p,r2,persistent_margin_flag,asymmetric_margin_flag,ljungbox_p,arch_p,jb_p
cottage_cheese,Cottage cheese,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,57,-0.23530181060187136,0.0009214819566935389,-0.8132711508898908,1.1119245576753124e-08,0.9181318250995628,4.205961856394805e-11,1.0702750989322831e-30,-0.3778099617195865,4.3645747440974985e-05,,,0.8051242667051426,0,1,0.03757416851837308,0.20286295519480024,0.9918499407358076
cottage_cheese,Cottage cheese,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,49,-0.13496393919335103,0.0070488426985834815,-0.8972326306223257,2.1466155479412666e-30,1.17034367285616,3.0957226414260457e-24,2.0225271298478736e-42,-0.22050264503518038,0.06542394070776693,,,0.9129160485851986,0,1,0.022068915348867815,0.8379203118927177,0.5856677134395292
cottage_cheese,Cottage cheese,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,49,-0.11829808739082857,0.02937030688023488,-0.9592538350002606,4.424185355019764e-36,1.0668809666614938,7.9105408948233e-84,5.3298428210847454e-132,0.040957113023500615,0.7014443013895304,,,0.9281302852497478,0,1,0.01314205709151993,0.2235347056658297,0.6555221582371882
cottage_cheese,Cottage cheese,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,63,-0.11353828391594667,0.0025322466908335485,-0.9352642815895353,1.1262944923654718e-31,1.049811616321853,1.5200957030249157e-31,3.8069062983038204e-104,-0.3375021117495841,0.0010691930035790147,,,0.9039780199156844,0,1,0.1561829454261372,0.1008338432654689,0.8364667994583134
cottage_cheese,Cottage cheese,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,63,-0.07475023765334068,0.01809838852519961,-0.9675736150182281,9.443499150368717e-36,1.023462921691575,4.549360379353165e-58,1.119227398308145e-233,-0.16118887155709807,0.027609118467862844,,,0.914917671369313,0,1,0.5945554019117025,0.22921862998738757,0.9062518436734635
cottage_cheese,Cottage cheese,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,61,-0.3680397932058603,0.0017098720407087023,15.745081672865162,0.060063850539912055,-3.9424427896902463,0.21474538735846926,0.005971497584977392,-0.5077239834884772,0.007114725391935701,,,0.2706453137097944,0,1,0.25681435801542485,0.06306676035443826,0.9850907996013475
cottage_cheese,Cottage cheese,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,61,-0.3523710911455358,0.0007949178967401544,12.189624064756904,0.08051259261786316,-1.755947506580981,0.5638982358631172,0.028454845502745504,-0.32034235586535376,0.009402697507187866,,,0.17905311202859975,0,1,0.8417904876317035,0.4482033379052539,0.7022688324457886
cottage_cheese,Cottage cheese,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,pchip,61,-0.3680397932058603,0.0017098720407087023,15.745081672865162,0.060063850539912055,-3.9424427896902463,0.21474538735846926,0.005971497584977392,-0.5077239834884772,0.007114725391935701,,,0.2706453137097944,0,1,0.25681435801542485,0.06306676035443826,0.9850907996013475
cottage_cheese,Cottage cheese,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,61,-0.382499884671284,0.00037657155661761373,9.125299882785075,0.11333769640370792,-5.3799747892668535,0.1761632004660626,0.005102210913218743,-0.5190726776687605,0.0022409042769311067,,,0.2738844377866857,0,1,0.23154174581247933,0.23098229329384654,0.9665006744302941
cottage_cheese,Cottage cheese,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,61,-0.38288777076347846,0.0003903436952063434,8.927000756508264,0.08676021216912524,-2.8100871771316207,0.4025071914767089,0.0141402769325152,-0.32654580317466125,0.006128990009523039,,,0.19325759475768955,0,1,0.7553688203532967,0.2944982949527166,0.7953202980488794
cottage_cheese,Cottage cheese,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,pchip,61,-0.382499884671284,0.00037657155661761373,9.125299882785075,0.11333769640370792,-5.3799747892668535,0.1761632004660626,0.005102210913218743,-0.5190726776687605,0.0022409042769311067,,,0.2738844377866857,0,1,0.23154174581247933,0.23098229329384654,0.9665006744302941
cottage_cheese,Cottage cheese,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,63,-0.11353828391594667,0.0025322466908335485,-0.9352642815895353,1.1262944923654718e-31,1.049811616321853,1.5200957030249157e-31,3.8069062983038204e-104,-0.3375021117495841,0.0010691930035790147,,,0.9039780199156844,0,1,0.1561829454261372,0.1008338432654689,0.8364667994583134
cottage_cheese,Cottage cheese,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,63,-0.07475023765334068,0.01809838852519961,-0.9675736150182281,9.443499150368717e-36,1.023462921691575,4.549360379353165e-58,1.119227398308145e-233,-0.16118887155709807,0.027609118467862844,,,0.914917671369313,0,1,0.5945554019117025,0.22921862998738757,0.9062518436734635
cottage_cheese,Cottage cheese,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,pchip,63,-0.11353828391594667,0.0025322466908335485,-0.9352642815895353,1.1262944923654718e-31,1.049811616321853,1.5200957030249157e-31,3.8069062983038204e-104,-0.3375021117495841,0.0010691930035790147,,,0.9039780199156844,0,1,0.1561829454261372,0.1008338432654689,0.8364667994583134
cottage_cheese,Cottage cheese,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,pchip,63,-0.07475023765334068,0.01809838852519961,-0.9675736150182281,9.443499150368717e-36,1.023462921691575,4.549360379353165e-58,1.119227398308145e-233,-0.16118887155709807,0.027609118467862844,,,0.914917671369313,0,1,0.5945554019117025,0.22921862998738757,0.9062518436734635
cottage_cheese,Cottage cheese,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,57,-0.32352716323576486,0.0009784430144291747,-0.7149598786088429,0.00010174151647370545,1.0222655564676684,1.815793997003693e-06,7.826722103959313e-11,-0.6374656708997446,7.66735936607135e-05,,,0.72300950536365,0,1,0.09081943719638833,0.38416169201732114,0.6247443609186268
cottage_cheese,Cottage cheese,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,57,-0.23530181060187136,0.0009214819566935389,-0.8132711508898908,1.1119245576753124e-08,0.9181318250995628,4.205961856394805e-11,1.0702750989322831e-30,-0.3778099617195865,4.3645747440974985e-05,,,0.8051242667051426,0,1,0.03757416851837308,0.20286295519480024,0.9918499407358076
cottage_cheese,Cottage cheese,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,49,-0.13496393919335103,0.0070488426985834815,-0.8972326306223257,2.1466155479412666e-30,1.17034367285616,3.0957226414260457e-24,2.0225271298478736e-42,-0.22050264503518038,0.06542394070776693,,,0.9129160485851986,0,1,0.022068915348867815,0.8379203118927177,0.5856677134395292
cottage_cheese,Cottage cheese,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,49,-0.11829808739082857,0.02937030688023488,-0.9592538350002606,4.424185355019764e-36,1.0668809666614938,7.9105408948233e-84,5.3298428210847454e-132,0.040957113023500615,0.7014443013895304,,,0.9281302852497478,0,1,0.01314205709151993,0.2235347056658297,0.6555221582371882
cottage_cheese,Cottage cheese,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,63,-0.11353828391594667,0.0025322466908335485,-0.9352642815895353,1.1262944923654718e-31,1.049811616321853,1.5200957030249157e-31,3.8069062983038204e-104,-0.3375021117495841,0.0010691930035790147,,,0.9039780199156844,0,1,0.1561829454261372,0.1008338432654689,0.8364667994583134
cottage_cheese,Cottage cheese,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,63,-0.07475023765334068,0.01809838852519961,-0.9675736150182281,9.443499150368717e-36,1.023462921691575,4.549360379353165e-58,1.119227398308145e-233,-0.16118887155709807,0.027609118467862844,,,0.914917671369313,0,1,0.5945554019117025,0.22921862998738757,0.9062518436734635
