product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
butter,Butter,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,67,-1.4843868154272986,-1.5560530221207989,0.2600558802736422,0.22664127100806727,2025-10-21,2026-01-08
butter,Butter,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,pchip,67,-1.5503320970642664,-1.637895117248136,0.29639563649855377,0.21217749860069424,2025-10-21,2026-01-08
butter,Butter,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,pchip,67,-1.4843868154272986,-1.5560530221207989,0.2600558802736422,0.22664127100806727,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,61,-1.6838563000856206,-1.7363026256544032,0.2281137015820855,0.18565664606841997,2025-10-21,2026-01-08
butter,Butter,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,61,-1.5828235239110826,-1.5970619809887436,0.19626986725377465,0.2053943428641389,2025-10-21,2026-01-08
butter,Butter,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,-1.7072828890103844,-1.7307180277396368,0.13434770760713807,0.18135789329321284,2025-10-21,2025-12-13
butter,Butter,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,-1.619928987234407,-1.6336233861992469,0.12158429468205424,0.19791275291653873,2025-10-21,2025-12-13
butter,Butter,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,67,-1.5503320970642664,-1.637895117248136,0.29639563649855377,0.21217749860069424,2025-10-21,2026-01-08
butter,Butter,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,67,-1.4843868154272986,-1.5560530221207989,0.2600558802736422,0.22664127100806727,2025-10-21,2026-01-08
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,62,1.3687984242725195,1.3523823499342102,0.11262640259104932,3.9306249133567968,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,62,1.4039415423228985,1.4000487079298616,0.09556363294605855,4.0712152508675805,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,linear,62,1.3687984242725195,1.3523823499342102,0.11262640259104932,3.9306249133567968,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,62,1.3711565640160623,1.3536689839354625,0.11382159876819596,3.93990481353233,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,62,1.4062996820664413,1.3964372809098309,0.09697796475886525,4.080827073911997,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,linear,62,1.3711565640160623,1.3536689839354625,0.11382159876819596,3.93990481353233,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,62,-0.40457899739347375,-0.4360581555896883,0.2374573084217267,0.6672576689511845,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,62,-0.3694358793430948,-0.3822435252808405,0.2280170102458381,0.6911240980692943,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,linear,62,-0.40457899739347375,-0.4360581555896883,0.2374573084217267,0.6672576689511845,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,linear,62,-0.3694358793430948,-0.3822435252808405,0.2280170102458381,0.6911240980692943,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,51,-0.5122281524673894,-0.6274020013634827,0.6427592116438303,0.5991590726293954,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,51,-0.4086634043142423,-0.4765544928889769,0.6199523690733248,0.664537875263317,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,-0.43659105887649796,-0.4508605982311291,0.20350614624340305,0.6462356497147187,2025-10-21,2025-12-13
condensed_milk,Condensed milk,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,-0.3926287050162131,-0.39533488822743124,0.19466505504368514,0.6752794289095029,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,62,-0.40457899739347375,-0.4360581555896883,0.2374573084217267,0.6672576689511845,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,62,-0.3694358793430948,-0.3822435252808405,0.2280170102458381,0.6911240980692943,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,62,1.3686129227167354,1.35221724871508,0.11262410895147394,3.9298958439440113,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,62,1.4037560407671144,1.4003181932282405,0.09559137131134839,4.070460104147224,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,pchip,62,1.3686129227167354,1.35221724871508,0.11262410895147394,3.9298958439440113,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,62,1.371127284843527,1.3542046150493654,0.11386503536585957,3.939789458068286,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,62,1.4062704028939061,1.3967732847561447,0.09704696451296178,4.080707592421182,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,pchip,62,1.371127284843527,1.3542046150493654,0.11386503536585957,3.939789458068286,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,62,-0.40457899739347375,-0.4360581555896883,0.2374573084217267,0.6672576689511845,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,62,-0.3694358793430948,-0.3822435252808405,0.2280170102458381,0.6911240980692943,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,pchip,62,-0.40457899739347375,-0.4360581555896883,0.2374573084217267,0.6672576689511845,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,pchip,62,-0.3694358793430948,-0.3822435252808405,0.2280170102458381,0.6911240980692943,2025-10-21,2025-12-29
condensed_milk,Condensed milk,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,51,-0.5122281524673894,-0.6274020013634827,0.6427592116438303,0.5991590726293954,2025-10-21,2025-12-13
condensed_milk,Condensed milk,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,51,-0.4086634043142423,-0.4765544928889769,0.6199523690733248,0.664537875263317,2025-10-21,2025-12-13
