product,product_label,n_obs,mean_discount_share,lag_discount_coef,lag_discount_p,lag_spread_coef,lag_spread_p,abs_d_producer_coef,abs_d_producer_p,abs_d_prozorro_coef,abs_d_prozorro_p,abs_d_farmgate_coef,abs_d_farmgate_p,r2,discount_strategy_signal
butter,Butter,64,0.006005640401744697,0.6307221590080316,1.5817484066660992e-13,-0.05603215970894683,0.20413029755703627,-1.0996615610243252,0.08709880761582756,-0.006313013352180305,0.9088773854107809,-4.7485852705788005,0.22181651445746042,0.5875018821886641,1
hard_cheese,Hard cheese,67,0.005648602558803295,0.7602145292456308,7.653013389052759e-14,-0.005723332356669662,0.7496733475879349,-0.32649407734525826,0.25999921251598246,-0.02184525567302016,0.5902502125868823,-2.7494235325547747,0.5191322398594108,0.6425611863237579,0
milk,Milk / fermented milk,68,0.006725581736905531,0.8046797930464404,7.050886212312684e-26,-0.004779076202410096,0.8761601296598756,-0.5041533065752323,0.12721630433317385,-0.21085623583805554,0.045596493887729066,-4.229287677750737,0.17997270852432712,0.7650965747420069,1
sour_cream,Sour cream,65,0.00628460296138425,0.8821276471368352,1.5720699301141095e-165,-0.0014871885226323128,0.9580750591779968,0.2231348913486383,0.6739829056236577,0.03434529675346308,0.26814648042248534,-2.4147121041891193,0.16831155067862014,0.7609640018046666,0
