item_key,silpo_product,silpo_brand_norm,silpo_canonical_name,silpo_first_name,novus_brand_norm,novus_canonical_name,novus_first_name,silpo_n_rows,novus_n_rows,strict_alignment_flag,combined_rows
yogurt_dessert|ростишка|малина банан,yogurt_dessert,ростишка,малина банан,Йогурт Малина банан питний,ростишка,малина банан,Йогурт Малина-банан,48.0,1.0,1,49.0
yogurt_dessert|ростишка|персик,yogurt_dessert,ростишка,персик,Йогурт персик стакан,ростишка,персик,Йогурт Персик,48.0,1.0,1,49.0
yogurt_dessert|ростишка|персик абрикос,yogurt_dessert,ростишка,персик абрикос,Йогурт персик-абрикос питний,ростишка,персик абрикос,Йогурт Персик-абрикос,48.0,1.0,1,49.0
yogurt_dessert|слов яночка|солодкий зі смаком ванілі,yogurt_dessert,слов яночка,солодкий зі смаком ванілі,Сирок солодкий зі смаком ванілі,слов яночка,солодкий зі смаком ванілі,Сирок солодкий зі смаком ванілі,48.0,1.0,1,49.0
yogurt_dessert|фанні|полуниця,yogurt_dessert,фанні,полуниця,Йогурт полуниця стакан,фанні,полуниця,Йогурт Полуниця,48.0,1.0,1,49.0
yogurt_dessert|ферма|глазурований вишня черешня,yogurt_dessert,ферма,глазурований вишня черешня,Сирок глазурований вишня-черешня,ферма,глазурований вишня черешня,Сирок глазурований Вишня-черешня,48.0,1.0,1,49.0
yogurt_dessert|чудо|gelato лимонне,yogurt_dessert,чудо,gelato лимонне,Йогурт Gelato Лимонне пляшка,чудо,gelato лимонне,Йогурт Gelato Лимонне,48.0,1.0,1,49.0
yogurt_dessert|чудо|збитий полуниця,yogurt_dessert,чудо,збитий полуниця,Сирок збитий полуниця,чудо,збитий полуниця,Сирок збитий полуниця,48.0,1.0,1,49.0
yogurt_dessert|чудо|кокосовий шейк,yogurt_dessert,чудо,кокосовий шейк,Йогурт Кокосовий шейк пляшка,чудо,кокосовий шейк,Йогурт Кокосовий шейк,48.0,1.0,1,49.0
yogurt_dessert|чудо|манго банан ананас,yogurt_dessert,чудо,манго банан ананас,Йогурт Манго-банан-ананас пляшка,чудо,манго банан ананас,Йогурт Манго-банан-ананас,48.0,1.0,1,49.0
yogurt_dessert|яготинський|грецький,yogurt_dessert,яготинський,грецький,Йогурт Грецький стакан,яготинський,грецький,Йогурт Грецький,48.0,1.0,1,49.0
yogurt_dessert|яготинський|енергійні злаки,yogurt_dessert,яготинський,енергійні злаки,Йогурт Енергійні злаки питний,яготинський,енергійні злаки,Йогурт Енергійні злаки,48.0,1.0,1,49.0
yogurt_dessert|яготинський|зі злаками,yogurt_dessert,яготинський,зі злаками,Йогурт зі злаками,яготинський,зі злаками,Йогурт зі злаками,48.0,1.0,1,49.0
yogurt_dessert|яготинський|лісовими ягодами,yogurt_dessert,яготинський,лісовими ягодами,Йогурт з лісовими ягодами,яготинський,лісовими ягодами,Йогурт з лісовими ягодами,48.0,1.0,1,49.0
yogurt_dessert|яготинський|чорниця,yogurt_dessert,яготинський,чорниця,Йогурт чорниця,яготинський,чорниця,Йогурт Чорниця,48.0,1.0,1,49.0
cottage_cheese|звени гора|розсипчастий,cottage_cheese,звени гора,розсипчастий,Сир кисломолочний розсипчастий ванночка,звени гора,розсипчастий,Сир кисломолочний розсипчастий,47.0,1.0,1,48.0
cottage_cheese|простонаше|безлактозний,cottage_cheese,простонаше,безлактозний,Сир кисломолочний безлактозний в/у,простонаше,безлактозний,Сир кисломолочний безлактозний,47.0,1.0,1,48.0
yogurt_dessert|дольче|вишня чіа,yogurt_dessert,дольче,вишня чіа,Йогурт Вишня чіа стакан,дольче,вишня чіа,Йогурт Вишня-чіа,47.0,1.0,1,48.0
yogurt_dessert|ферма|глазурований зі смаком ванілі,yogurt_dessert,ферма,глазурований зі смаком ванілі,Сирок глазурований зі смаком ванілі,ферма,глазурований зі смаком ванілі,Сирок глазурований зі смаком ванілі,47.0,1.0,1,48.0
yogurt_dessert|марійка|десерт сирковий ваніль,yogurt_dessert,марійка,десерт сирковий ваніль,Десерт сирковий ваніль,марійка,десерт сирковий ваніль,Десерт сирковий Ваніль,46.0,1.0,1,47.0
butter|комо|кисловершкове,butter,комо,кисловершкове,Масло кисловершкове Екстра,комо,кисловершкове,Масло Екстра кисловершкове,37.0,1.0,1,38.0
milk|яготинська|печі,milk,яготинська,печі,Ряжанка з печі,яготинська,печі,Ряжанка з печі,25.0,1.0,1,26.0
milk|айран|onur турецький свіжа ята,milk,айран,onur турецький свіжа ята,Onur Турецький Свіжа м'ята стакан,айран,onur турецький свіжа ята,Onur Турецький Свіжа м'ята,12.0,1.0,1,13.0
butter|prego|безлактозне,butter,prego,безлактозне,Масло солодковершкове Екстра безлактозне,prego,безлактозне,Масло солодковершкове безлактозне,2.0,1.0,1,3.0
milk|селянське|milk,milk,селянське,milk,Молоко ультрапастеризоване,селянське,milk,Молоко Родинне ультрапастеризоване,409.0,9.0,0,418.0
sour_cream|president|sour_cream,sour_cream,president,sour_cream,Сметана стакан,president,sour_cream,Сметана,391.0,7.0,0,398.0
milk|яготинське|milk,milk,яготинське,milk,Молоко ультрапастеризоване,яготинське,milk,Молоко пастеризоване,361.0,9.0,0,370.0
milk|ферма|milk,milk,ферма,milk,Ряжанка,ферма,milk,Молоко пастеризоване,336.0,5.0,0,341.0
milk|волошкове поле|milk,milk,волошкове поле,milk,Кефір Домашній термостатний п/е,волошкове поле,milk,Кефір,339.0,1.0,0,340.0
milk|селянський|milk,milk,селянський,milk,Кефір питний,селянський,milk,Кефір,336.0,3.0,0,339.0
milk|яготинський|milk,milk,яготинський,milk,Кефір п/п,яготинський,milk,Кефір,288.0,7.0,0,295.0
milk|молокія|milk,milk,молокія,milk,Кефір питний,молокія,milk,Кефір питний,288.0,3.0,0,291.0
sour_cream|яготинська|sour_cream,sour_cream,яготинська,sour_cream,Сметана п/е,яготинська,sour_cream,Сметана,240.0,6.0,0,246.0
cottage_cheese|біло|cottage_cheese,cottage_cheese,біло,cottage_cheese,Сир кисломолочний Домашній,біло,cottage_cheese,Сир кисломолочний,240.0,5.0,0,245.0
sour_cream|простонаше|sour_cream,sour_cream,простонаше,sour_cream,Сметана стакан,простонаше,sour_cream,Сметана,240.0,5.0,0,245.0
cream|галичина|ультрапастеризовані,cream,галичина,ультрапастеризовані,Вершки ультрапастеризовані,галичина,ультрапастеризовані,Вершки ультрапастеризовані,239.0,3.0,0,242.0
sour_cream|ферма|sour_cream,sour_cream,ферма,sour_cream,Сметана стакан,ферма,sour_cream,Сметана,240.0,2.0,0,242.0
cottage_cheese|president|сирна традиція,cottage_cheese,president,сирна традиція,Сир кисломолочний Сирна Традиція ванночка,president,сирна традиція,Сир кисломолочний Сирна традиція,240.0,1.0,0,241.0
milk|слов яночка|milk,milk,слов яночка,milk,Молоко ультрапастеризоване т/п,слов яночка,milk,Ряжанка,205.0,3.0,0,208.0
milk|галичина|milk,milk,галичина,milk,Молоко ультрапастеризоване,галичина,milk,Молоко ультрапастеризоване,198.0,6.0,0,204.0
cream|простонаше|cream,cream,простонаше,cream,Вершки т/б,простонаше,cream,Вершки стерилізовані,194.0,4.0,0,198.0
milk|organic|milk органічне,milk,organic,milk органічне,Молоко пастеризоване Milk органічне пляшка,organic,milk органічне,Молоко Milk органічне ультрапастеризоване,194.0,3.0,0,197.0
milk|organic|milk органічний,milk,organic,milk органічний,Кефір Milk термостатний органічний пляшка,organic,milk органічний,Кефір Milk термостатний органічний,195.0,1.0,0,196.0
cream|селянські|ультрапастеризовані,cream,селянські,ультрапастеризовані,Вершки ультрапастеризовані,селянські,ультрапастеризовані,Вершки ультрапастеризовані,192.0,3.0,0,195.0
sour_cream|волошкове поле|sour_cream,sour_cream,волошкове поле,sour_cream,Сметана термостатна стакан,волошкове поле,sour_cream,Сметана,156.0,6.0,0,162.0
milk|яготинська|milk,milk,яготинська,milk,Ряжанка стакан,яготинська,milk,Ряжанка,156.0,3.0,0,159.0
sour_cream|селянська|sour_cream,sour_cream,селянська,sour_cream,Сметана,селянська,sour_cream,Сметана,144.0,6.0,0,150.0
yogurt_dessert|галичина|карпатський без цукру,yogurt_dessert,галичина,карпатський без цукру,Йогурт Карпатський без цукру,галичина,карпатський без цукру,Йогурт Карпатський без цукру,144.0,6.0,0,150.0
sour_cream|молокія|sour_cream,sour_cream,молокія,sour_cream,Сметана стакан,молокія,sour_cream,Сметана,144.0,4.0,0,148.0
sour_cream|organic|milk органічна,sour_cream,organic,milk органічна,Сметана Milk термостатна органічна стакан,organic,milk органічна,Сметана Milk органічна термостатна,146.0,1.0,0,147.0
cottage_cheese|волошкове поле|cottage_cheese,cottage_cheese,волошкове поле,cottage_cheese,Сир кисломолочний пакет,волошкове поле,cottage_cheese,Сир кисломолочний,144.0,2.0,0,146.0
cottage_cheese|молокія|cottage_cheese,cottage_cheese,молокія,cottage_cheese,Сир кисломолочний,молокія,cottage_cheese,Сир кисломолочний,144.0,2.0,0,146.0
milk|галичина|безлактозне,milk,галичина,безлактозне,Молоко ультрапастеризоване безлактозне,галичина,безлактозне,Молоко безлактозне,144.0,2.0,0,146.0
yogurt_dessert|danone|полуниця,yogurt_dessert,danone,полуниця,Йогурт Полуниця стакан,danone,полуниця,Йогурт полуниця,144.0,2.0,0,146.0
yogurt_dessert|фанні|персик,yogurt_dessert,фанні,персик,Йогурт Персик питний пляшка,фанні,персик,Йогурт Персик,145.0,1.0,0,146.0
milk|галичина|карпатський,milk,галичина,карпатський,Кефір Карпатський,галичина,карпатський,Кефір Карпатський,144.0,1.0,0,145.0
milk|на здоров я|безлактозне,milk,на здоров я,безлактозне,Молоко ультрапастеризоване безлактозне,на здоров я,безлактозне,Молоко безлактозне ультрапастеризоване,144.0,1.0,0,145.0
milk|ґокарпати|milk,milk,ґокарпати,milk,Кефір,ґокарпати,milk,Кефір питний,144.0,1.0,0,145.0
yogurt_dessert|фанні|полуниця малина,yogurt_dessert,фанні,полуниця малина,Йогурт полуниця-малина питний пляшка,фанні,полуниця малина,Йогурт Полуниця-малина,144.0,1.0,0,145.0
cream|яготинські|ультрапастеризовані,cream,яготинські,ультрапастеризовані,Вершки ультрапастеризовані т/ж,яготинські,ультрапастеризовані,Вершки ультрапастеризовані,120.0,5.0,0,125.0
sour_cream|слов яночка|sour_cream,sour_cream,слов яночка,sour_cream,Сметана стакан,слов яночка,sour_cream,Сметана,112.0,3.0,0,115.0
yogurt_dessert|яготинський|полуниця,yogurt_dessert,яготинський,полуниця,Йогурт полуниця стакан,яготинський,полуниця,Йогурт Полуниця,101.0,3.0,0,104.0
cream|бурьонка|ультрапастеризовані,cream,бурьонка,ультрапастеризовані,Вершки ультрапастеризовані,бурьонка,ультрапастеризовані,Вершки ультрапастеризовані 10*,96.0,6.0,0,102.0
butter|волошкове поле|butter,butter,волошкове поле,butter,Масло солодковершкове Екстра,волошкове поле,butter,Масло Селянське солодковершкове,97.0,3.0,0,100.0
milk|простонаше|milk,milk,простонаше,milk,Молоко пастеризоване пляшка,простонаше,milk,Молоко пастеризоване,96.0,4.0,0,100.0
butter|селянське|butter,butter,селянське,butter,Масло солодковершкове екстра,селянське,butter,Масло Екстра солодковершкове,97.0,2.0,0,99.0
yogurt_dessert|активіа|біфідойогурт ананас,yogurt_dessert,активіа,біфідойогурт ананас,Біфідойогурт Ананас питний,активіа,біфідойогурт ананас,Біфідойогурт ананас,96.0,3.0,0,99.0
yogurt_dessert|молокія|абрикос,yogurt_dessert,молокія,абрикос,Йогурт Абрикос пляшка,молокія,абрикос,Йогурт Абрикос,96.0,3.0,0,99.0
butter|галичина|butter,butter,галичина,butter,Масло солодковершкове Селянське,галичина,butter,Масло Селянське солодковершкове,96.0,2.0,0,98.0
butter|ранчо|butter,butter,ранчо,butter,Масло солодковершкове Селянське,ранчо,butter,Масло Селянське солодковершкове,96.0,2.0,0,98.0
