item_key,silpo_product,silpo_brand_norm,silpo_canonical_name,silpo_first_name,novus_brand_norm,novus_canonical_name,novus_first_name,silpo_n_rows,novus_n_rows,strict_alignment_flag,combined_rows
milk|lactel|вітаміном d3,milk,lactel,вітаміном d3,Молоко ультрапастеризоване з вітаміном D3 т/б,lactel,вітаміном d3,Молоко з вітаміном D3 ультрапастеризоване,48.0,2.0,0,50.0
yogurt_dessert|галичина|ананас,yogurt_dessert,галичина,ананас,Йогурт ананас стакан,галичина,ананас,Йогурт ананас,48.0,2.0,0,50.0
yogurt_dessert|галичина|карпатський лісові ягоди,yogurt_dessert,галичина,карпатський лісові ягоди,Йогурт Карпатський лісові ягоди,галичина,карпатський лісові ягоди,Йогурт Карпатський Лісові ягоди,48.0,2.0,0,50.0
yogurt_dessert|галичина|манго,yogurt_dessert,галичина,манго,Йогурт манго стакан,галичина,манго,Йогурт манго,48.0,2.0,0,50.0
yogurt_dessert|дольче|вишня,yogurt_dessert,дольче,вишня,Йогурт вишня,дольче,вишня,Йогурт вишня,48.0,2.0,0,50.0
yogurt_dessert|дольче|десерт сирковий банан шоколадом,yogurt_dessert,дольче,десерт сирковий банан шоколадом,Десерт сирковий банан з шоколадом,дольче,десерт сирковий банан шоколадом,Десерт сирковий банан з шоколадом,48.0,2.0,0,50.0
yogurt_dessert|молокія|злаки,yogurt_dessert,молокія,злаки,Йогурт Злаки пляшка,молокія,злаки,Йогурт Злаки,48.0,2.0,0,50.0
milk|агуня|напій білакт пробіотиками,milk,агуня,напій білакт пробіотиками,Напій кисломолочний Білакт з пробіотиками,агуня,напій білакт пробіотиками,Напій кисломолочний Білакт з пробіотиками,48.0,1.0,0,49.0
sour_cream|молокія|безлактозна,sour_cream,молокія,безлактозна,Сметана безлактозна,молокія,безлактозна,Сметана безлактозна,48.0,1.0,0,49.0
yogurt_dessert|марійка|десерт сирковий какао,yogurt_dessert,марійка,десерт сирковий какао,Десерт сирковий какао,марійка,десерт сирковий какао,Десерт сирковий какао,48.0,1.0,0,49.0
yogurt_dessert|яготинський|турецький,yogurt_dessert,яготинський,турецький,Йогурт Турецький стакан,яготинський,турецький,Йогурт Турецький,48.0,1.0,0,49.0
yogurt_dessert|яготинський|манго та соком маракуйї,yogurt_dessert,яготинський,манго та соком маракуйї,Йогурт з манго та соком маракуйї,яготинський,манго та соком маракуйї,Йогурт з манго та соком маракуйї,25.0,2.0,0,27.0
yogurt_dessert|молокія|yogurt_dessert,yogurt_dessert,молокія,yogurt_dessert,Йогурт Білий питний п/п,молокія,yogurt_dessert,Йогурт білий,17.0,3.0,0,20.0
butter|roshen|butter,butter,roshen,butter,Масло солодковершкове Екстра,roshen,butter,Масло Селянське солодковершкове,8.0,2.0,0,10.0
