date,product,consumer_linear,consumer_pchip
2021-02-01,hard_cheese,28.41300937680101,28.41300937680101
2021-02-02,hard_cheese,28.42431878893045,28.42579949708836
2021-02-03,hard_cheese,28.43562820105988,28.43815627834183
2021-02-04,hard_cheese,28.44693761318932,28.45004358235015
2021-02-05,hard_cheese,28.45824702531876,28.46142527090209
2021-02-06,hard_cheese,28.46955643744819,28.4722652057864
2021-02-07,hard_cheese,28.48086584957763,28.4825272487918
2021-02-08,hard_cheese,28.49217526170706,28.49217526170706
2021-02-09,hard_cheese,28.50011401062763,28.50062324833461
2021-02-10,hard_cheese,28.5080527595482,28.50776421445834
2021-02-11,hard_cheese,28.51599150846877,28.51428052483914
2021-02-12,hard_cheese,28.52393025738933,28.52085454423791
2021-02-13,hard_cheese,28.5318690063099,28.52816863741555
2021-02-14,hard_cheese,28.53980775523047,28.53690516913296
2021-02-15,hard_cheese,28.54774650415104,28.54774650415104
2021-02-16,hard_cheese,28.57336398317816,28.56658517759408
2021-02-17,hard_cheese,28.59898146220528,28.59566585421798
2021-02-18,hard_cheese,28.62459894123241,28.63019909323104
2021-02-19,hard_cheese,28.65021642025953,28.66539545384155
2021-02-20,hard_cheese,28.67583389928665,28.69646549525784
2021-02-21,hard_cheese,28.70145137831378,28.71861977668818
2021-02-22,hard_cheese,28.7270688573409,28.7270688573409
2021-02-23,hard_cheese,27.84735190165678,28.38595411942257
2021-02-24,hard_cheese,26.96763494597266,27.50623716373844
2021-02-25,hard_cheese,26.08791799028853,26.30335887739485
2021-02-26,hard_cheese,25.20820103460441,24.9927601474981
2021-02-27,hard_cheese,24.32848407892029,23.78988186115451
2021-02-28,hard_cheese,23.44876712323617,22.91016490547038
2021-03-01,hard_cheese,22.56905016755205,22.56905016755205
2021-03-02,hard_cheese,22.64781494726673,22.58915464078197
2021-03-03,hard_cheese,22.72657972698142,22.64356648591033
2021-03-04,hard_cheese,22.80534450669611,22.72343334109501
2021-03-05,hard_cheese,22.88410928641079,22.81990284449392
2021-03-06,hard_cheese,22.96287406612548,22.92412263426493
2021-03-07,hard_cheese,23.04163884584016,23.02724034856594
2021-03-08,hard_cheese,23.12040362555485,23.12040362555485
2021-03-09,hard_cheese,23.21326763319697,23.21903395010745
2021-03-10,hard_cheese,23.30613164083908,23.3362508923359
2021-03-11,hard_cheese,23.3989956484812,23.45974921825258
2021-03-12,hard_cheese,23.49185965612331,23.5772236938699
2021-03-13,hard_cheese,23.58472366376543,23.67636908520026
2021-03-14,hard_cheese,23.67758767140754,23.74488015825604
2021-03-15,hard_cheese,23.77045167904966,23.77045167904966
2021-03-16,hard_cheese,23.73114079921093,23.76217505522894
2021-03-17,hard_cheese,23.6918299193722,23.73911903966264
2021-03-18,hard_cheese,23.65251903953347,23.70394441619449
2021-03-19,hard_cheese,23.61320815969475,23.65931196866825
2021-03-20,hard_cheese,23.57389727985602,23.60788248092768
2021-03-21,hard_cheese,23.53458640001729,23.55231673681653
2021-03-22,hard_cheese,23.49527552017856,23.49527552017856
2021-03-23,hard_cheese,23.39235316124804,23.41356862797438
2021-03-24,hard_cheese,23.28943080231751,23.29439140477144
2021-03-25,hard_cheese,23.18650844338699,23.15598295582372
2021-03-26,hard_cheese,23.08358608445646,23.01658238638522
2021-03-27,hard_cheese,22.98066372552594,22.89442880170992
2021-03-28,hard_cheese,22.87774136659542,22.80776130705181
