product,product_label,date_min,date_max,n_days,farmgate_initial_linear_n,farmgate_initial_linear_share,farmgate_filled_linear_n,farmgate_filled_linear_share,producer_linear_n,producer_linear_share,consumer_linear_n,consumer_linear_share,prozorro_n,prozorro_share,prozorro_model_n,prozorro_model_share,retail_observed_n,retail_observed_share,retail_observed_model_n,retail_observed_model_share,retail_baseline_n,retail_baseline_share,retail_baseline_model_n,retail_baseline_model_share,retail_consumer_observed_n,retail_consumer_observed_share,retail_consumer_observed_model_n,retail_consumer_observed_model_share,retail_consumer_baseline_n,retail_consumer_baseline_share,retail_consumer_baseline_model_n,retail_consumer_baseline_model_share,retail_matched_observed_n,retail_matched_observed_share,retail_matched_observed_model_n,retail_matched_observed_model_share,retail_optimal_observed_n,retail_optimal_observed_share,retail_optimal_observed_model_n,retail_optimal_observed_model_share,retail_optimal_baseline_n,retail_optimal_baseline_share,retail_optimal_baseline_model_n,retail_optimal_baseline_model_share,retail_discount_share_n,retail_discount_share_share,retail_unit_observed_n,retail_unit_observed_share,retail_unit_observed_model_n,retail_unit_observed_model_share,silpo_observed_n,silpo_observed_share,silpo_observed_model_n,silpo_observed_model_share,novus_observed_n,novus_observed_share,novus_observed_model_n,novus_observed_model_share
butter,Butter,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,1793,0.9846238330587589,0,0.0,230,0.12630422844590883,270,0.14827018121911037,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,51,0.02800658978583196,61,0.033498077979132346,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,54,0.029654036243822075,67,0.036792970895112576,48,0.026359143327841845,51,0.02800658978583196,11,0.0060406370126304225,32,0.01757276221856123
condensed_milk,Condensed milk,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,0,0.0,0,0.0,84,0.04612850082372323,268,0.1471718835804503,52,0.028555738605161998,64,0.03514552443712246,52,0.028555738605161998,64,0.03514552443712246,52,0.028555738605161998,64,0.03514552443712246,52,0.028555738605161998,64,0.03514552443712246,48,0.026359143327841845,51,0.02800658978583196,52,0.028555738605161998,64,0.03514552443712246,52,0.028555738605161998,64,0.03514552443712246,52,0.028555738605161998,52,0.028555738605161998,64,0.03514552443712246,48,0.026359143327841845,51,0.02800658978583196,8,0.004393190554640308,26,0.014277869302580999
cottage_cheese,Cottage cheese,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,0,0.0,0,0.0,190,0.1043382756727073,270,0.14827018121911037,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,52,0.028555738605161998,61,0.033498077979132346,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,67,0.036792970895112576,54,0.029654036243822075,54,0.029654036243822075,67,0.036792970895112576,48,0.026359143327841845,51,0.02800658978583196,12,0.006589785831960461,36,0.019769357495881382
cream,Cream,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,0,0.0,0,0.0,209,0.11477210323997804,269,0.14772103239978035,54,0.029654036243822075,70,0.03844041735310269,54,0.029654036243822075,70,0.03844041735310269,54,0.029654036243822075,70,0.03844041735310269,54,0.029654036243822075,70,0.03844041735310269,51,0.02800658978583196,63,0.03459637561779242,54,0.029654036243822075,70,0.03844041735310269,54,0.029654036243822075,70,0.03844041735310269,54,0.029654036243822075,54,0.029654036243822075,70,0.03844041735310269,48,0.026359143327841845,51,0.02800658978583196,17,0.009335529928610654,47,0.02580999450851181
hard_cheese,Hard cheese,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,1793,0.9846238330587589,1821,1.0,199,0.10928061504667765,270,0.14827018121911037,60,0.032948929159802305,71,0.03898956617243273,60,0.032948929159802305,71,0.03898956617243273,60,0.032948929159802305,71,0.03898956617243273,60,0.032948929159802305,71,0.03898956617243273,0,0.0,0,0.0,60,0.032948929159802305,71,0.03898956617243273,60,0.032948929159802305,71,0.03898956617243273,60,0.032948929159802305,56,0.030752333882482153,71,0.03898956617243273,48,0.026359143327841845,51,0.02800658978583196,32,0.01757276221856123,57,0.03130148270181219
milk,Milk / fermented milk,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,1793,0.9846238330587589,1821,1.0,210,0.11532125205930807,270,0.14827018121911037,61,0.033498077979132346,72,0.039538714991762765,61,0.033498077979132346,72,0.039538714991762765,61,0.033498077979132346,72,0.039538714991762765,61,0.033498077979132346,72,0.039538714991762765,59,0.032399780340472265,72,0.039538714991762765,61,0.033498077979132346,72,0.039538714991762765,61,0.033498077979132346,72,0.039538714991762765,61,0.033498077979132346,61,0.033498077979132346,72,0.039538714991762765,48,0.026359143327841845,51,0.02800658978583196,27,0.014827018121911038,56,0.030752333882482153
milk_powder,Milk powder,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,1793,0.9846238330587589,0,0.0,8,0.004393190554640308,84,0.04612850082372323,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,51,0.02800658978583196,48,0.026359143327841845,22,0.012081274025260845,25,0.013728720483250962,48,0.026359143327841845,51,0.02800658978583196,1,0.0005491488193300384,1,0.0005491488193300384
sour_cream,Sour cream,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,1793,0.9846238330587589,1821,1.0,188,0.10323997803404723,270,0.14827018121911037,54,0.029654036243822075,68,0.037342119714442616,54,0.029654036243822075,68,0.037342119714442616,54,0.029654036243822075,68,0.037342119714442616,54,0.029654036243822075,68,0.037342119714442616,53,0.029104887424492038,66,0.036243822075782535,54,0.029654036243822075,68,0.037342119714442616,54,0.029654036243822075,68,0.037342119714442616,54,0.029654036243822075,54,0.029654036243822075,68,0.037342119714442616,48,0.026359143327841845,51,0.02800658978583196,11,0.0060406370126304225,34,0.018671059857221308
yogurt_dessert,Yogurt / dessert,2021-02-01,2026-01-26,1821,1462,0.8028555738605162,1462,0.8028555738605162,0,0.0,0,0.0,0,0.0,0,0.0,59,0.032399780340472265,72,0.039538714991762765,59,0.032399780340472265,72,0.039538714991762765,59,0.032399780340472265,72,0.039538714991762765,59,0.032399780340472265,72,0.039538714991762765,54,0.029654036243822075,68,0.037342119714442616,59,0.032399780340472265,72,0.039538714991762765,59,0.032399780340472265,72,0.039538714991762765,59,0.032399780340472265,59,0.032399780340472265,72,0.039538714991762765,48,0.026359143327841845,51,0.02800658978583196,33,0.018121911037891267,58,0.03185063152114223
