product,product_label,candidate,candidate_label,observed_col,baseline_col,discount_col,support_col,n_obs,coverage_share,best_corr_prozorro,best_lag_prozorro,best_corr_consumer,best_lag_consumer,discount_std,median_item_support,overlap_prozorro_n,overlap_consumer_n,coverage_share_scaled,best_corr_prozorro_scaled,best_corr_consumer_scaled,discount_std_scaled,median_item_support_scaled,selection_score
cream,Cream,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,63,0.03459637561779242,0.5598972180118519,27.0,,,0.13272675584640237,8.0,63,0,0.875,1.0,0.0,0.30330959810489816,0.012326656394453005,0.5946799582696578
cream,Cream,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,-0.33945782078944364,19.0,,,0.045128481643504414,56.0,51,0,0.7083333333333334,0.6062859572598519,0.0,0.10312842759613504,0.08628659476117104,0.41764161915174475
cream,Cream,novus,Novus only,novus_observed_model,novus_observed_model,novus_discount_share,novus_n_item_keys,47,0.02580999450851181,0.3423035492214553,27.0,,,0.0,1.0,47,0,0.6527777777777779,0.6113685480291302,0.0,0.0,0.0015408320493066256,0.37947502254946847
hard_cheese,Hard cheese,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,71,0.03898956617243273,-0.3288706454509931,5.0,-0.8128230332942753,14.0,0.09903115797154984,55.0,71,71,0.9861111111111113,0.58737681644282,0.9739840668653473,0.2263078045768994,0.0847457627118644,0.6534866331604511
hard_cheese,Hard cheese,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,71,0.03898956617243273,-0.29608671864737524,7.0,-0.8345342197539742,14.0,0.09903115797154984,55.0,71,71,0.9861111111111113,0.5288233431463624,1.0,0.2263078045768994,0.0847457627118644,0.6398229811417117
hard_cheese,Hard cheese,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,0.40250756746917343,26.0,-0.13042401334731943,14.0,0.04615714491606194,55.0,51,51,0.7083333333333334,0.7188954588816213,0.1562836013911679,0.10547914762839257,0.0847457627118644,0.47487095704278054
hard_cheese,Hard cheese,novus,Novus only,novus_observed_model,novus_observed_model,novus_discount_share,novus_n_item_keys,57,0.03130148270181219,-0.3425953346956894,3.0,0.2233884193019694,1.0,0.0,2.0,57,57,0.7916666666666667,0.6118896891686956,0.2676803587129425,0.0,0.0030816640986132513,0.461681210172342
milk,Milk / fermented milk,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,72,0.039538714991762765,0.26020100280807573,17.0,-0.16629467572001227,14.0,0.10778124675497022,275.0,72,72,1.0,0.4647299440637117,0.19926645520783673,0.24630366671755724,0.423728813559322,0.5574986402059431
milk,Milk / fermented milk,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,72,0.039538714991762765,0.2543758454264791,17.0,0.18098645268757713,2.0,0.10778124675497022,275.0,72,72,1.0,0.4543259677727038,0.21687121798424638,0.24630366671755724,0.423728813559322,0.5570181617351022
milk,Milk / fermented milk,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,72,0.039538714991762765,0.27999150884886487,8.0,-0.34699599659068003,7.0,0.12837750649859586,38.0,72,72,1.0,0.5000766209253392,0.41579600737400146,0.2933706143383712,0.05855161787365177,0.5505121914985868
milk,Milk / fermented milk,novus,Novus only,novus_observed_model,novus_observed_model,novus_discount_share,novus_n_item_keys,56,0.030752333882482153,0.4352742027332568,17.0,-0.24768213361804303,12.0,0.0,1.0,56,56,0.7777777777777779,0.7774180487605904,0.2967908657970445,0.0,0.0015408320493066256,0.5113085026384631
milk,Milk / fermented milk,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,-0.28756407532104405,1.0,-0.20113727424946942,0.0,0.02431081189740516,275.0,51,51,0.7083333333333334,0.5136015434085563,0.24101740766096555,0.0555555098079767,0.423728813559322,0.47184794718640766
milk_powder,Milk powder,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,51,0.02800658978583196,,,,,0.4375949744936837,1.0,0,0,0.7083333333333334,0.0,0.0,1.0,0.0015408320493066256,0.31273112480739595
milk_powder,Milk powder,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,,,,,0.313565559220202,3.0,0,0,0.7083333333333334,0.0,0.0,0.7165657228651013,0.004622496147919877,0.2848499467086981
milk_powder,Milk powder,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,51,0.02800658978583196,,,,,0.31176190153142525,3.0,0,0,0.7083333333333334,0.0,0.0,0.7124439714878976,0.004622496147919877,0.2844377715709777
milk_powder,Milk powder,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,51,0.02800658978583196,,,,,0.31176190153142525,3.0,0,0,0.7083333333333334,0.0,0.0,0.7124439714878976,0.004622496147919877,0.2844377715709777
sour_cream,Sour cream,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,68,0.037342119714442616,-0.3574170700522583,27.0,-0.7176074230008411,6.0,0.08440866721886899,57.0,68,68,0.9444444444444445,0.6383619324300563,0.8598897516897464,0.19289222257758665,0.08782742681047766,0.6362887120951425
sour_cream,Sour cream,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,66,0.036243822075782535,-0.3466620096573451,27.0,-0.6718937405826663,7.0,0.10601996887555391,16.0,66,66,0.9166666666666666,0.6191529418351334,0.8051122706277337,0.24227876245202223,0.02465331278890601,0.6094385963082382
sour_cream,Sour cream,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,68,0.037342119714442616,0.3879620711131802,12.0,-0.4529807184844715,14.0,0.08440866721886899,57.0,68,68,0.9444444444444445,0.6929165901034497,0.5427946604969812,0.19289222257758665,0.08782742681047766,0.6050908457182457
sour_cream,Sour cream,novus,Novus only,novus_observed_model,novus_observed_model,novus_discount_share,novus_n_item_keys,34,0.018671059857221308,-0.5064260782995809,28.0,-0.7780254450315266,6.0,0.0,1.0,34,34,0.47222222222222227,0.9044982936294226,0.9322870490090787,0.0,0.0015408320493066256,0.5530903369142511
sour_cream,Sour cream,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,0.38141183468227247,12.0,0.16039968962862233,0.0,0.0382255549828579,57.0,51,51,0.7083333333333334,0.6812175921084836,0.19220265128961295,0.0873537339570376,0.08782742681047766,0.4676051627432624
yogurt_dessert,Yogurt / dessert,retail_merged,Retail merged full list,retail_observed_model,retail_baseline_model,retail_discount_share,retail_n_item_keys,72,0.039538714991762765,,,,,0.11527520243201086,649.0,0,0,1.0,0.0,0.0,0.26342899062172564,1.0,0.47634289906217253
yogurt_dessert,Yogurt / dessert,retail_consumer,Retail plus ConsumerUA,retail_consumer_observed_model,retail_consumer_baseline_model,retail_discount_share,retail_n_item_keys,72,0.039538714991762765,,,,,0.11527520243201086,649.0,0,0,1.0,0.0,0.0,0.26342899062172564,1.0,0.47634289906217253
yogurt_dessert,Yogurt / dessert,silpo,Silpo only,silpo_observed_model,silpo_baseline_model,silpo_discount_share,silpo_n_item_keys,51,0.02800658978583196,,,,,0.027729504480174447,649.0,0,0,0.7083333333333334,0.0,0.0,0.06336796831878311,1.0,0.3688367968318783
yogurt_dessert,Yogurt / dessert,retail_matched,Retail matched cross-shop,retail_matched_observed_model,retail_matched_baseline_model,retail_matched_discount_share,retail_matched_n_item_keys,68,0.037342119714442616,,,,,0.10178772669969967,102.0,0,0,0.9444444444444445,0.0,0.0,0.23260716560438674,0.15716486902927582,0.3301687802481634
yogurt_dessert,Yogurt / dessert,novus,Novus only,novus_observed_model,novus_observed_model,novus_discount_share,novus_n_item_keys,58,0.03185063152114223,,,,,0.0,1.0,0,0,0.8055555555555557,0.0,0.0,0.0,0.0015408320493066256,0.24189779147406268
